Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.625 [0.609 - 0.640],0.595 [0.593 - 0.597],0.595 [0.568 - 0.619],0.595 [0.593 - 0.597],0.011 [0.011 - 0.012],0.190 [0.162 - 0.215],0.022 [0.021 - 0.024]
Demographic,0.687 [0.675 - 0.698],0.631 [0.629 - 0.632],0.632 [0.609 - 0.652],0.631 [0.629 - 0.632],0.013 [0.013 - 0.014],0.262 [0.239 - 0.282],0.026 [0.025 - 0.027]
Metabolite+Demographic,0.697 [0.683 - 0.708],0.644 [0.642 - 0.645],0.645 [0.620 - 0.665],0.644 [0.642 - 0.645],0.014 [0.013 - 0.015],0.288 [0.264 - 0.309],0.027 [0.026 - 0.029]
