Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.652 [0.577 - 0.697],0.611 [0.609 - 0.612],0.613 [0.500 - 0.690],0.611 [0.609 - 0.612],0.001 [0.001 - 0.001],0.224 [0.110 - 0.302],0.002 [0.002 - 0.002]
Demographic,0.610 [0.558 - 0.650],0.551 [0.549 - 0.553],0.556 [0.464 - 0.639],0.551 [0.549 - 0.553],0.001 [0.001 - 0.001],0.107 [0.016 - 0.187],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.651 [0.577 - 0.697],0.580 [0.578 - 0.582],0.586 [0.461 - 0.668],0.580 [0.578 - 0.582],0.001 [0.001 - 0.001],0.167 [0.040 - 0.250],0.002 [0.001 - 0.002]
