Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.612 [0.606 - 0.619],0.582 [0.580 - 0.585],0.581 [0.568 - 0.593],0.582 [0.580 - 0.585],0.055 [0.054 - 0.057],0.163 [0.150 - 0.175],0.100 [0.098 - 0.103]
Demographic,0.649 [0.641 - 0.655],0.608 [0.605 - 0.610],0.607 [0.595 - 0.615],0.608 [0.605 - 0.610],0.061 [0.059 - 0.062],0.215 [0.201 - 0.224],0.110 [0.107 - 0.113]
Metabolite+Demographic,0.653 [0.647 - 0.659],0.611 [0.609 - 0.613],0.610 [0.601 - 0.621],0.611 [0.609 - 0.614],0.062 [0.060 - 0.064],0.221 [0.211 - 0.232],0.112 [0.109 - 0.115]
