Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.432 [0.385 - 0.476],0.461 [0.458 - 0.463],0.458 [0.372 - 0.542],0.461 [0.458 - 0.463],0.001 [0.000 - 0.001],-0.081 [-0.167 - 0.003],0.001 [0.001 - 0.002]
Demographic,0.607 [0.566 - 0.639],0.579 [0.577 - 0.581],0.574 [0.500 - 0.640],0.579 [0.577 - 0.581],0.001 [0.001 - 0.001],0.152 [0.079 - 0.220],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.527 [0.489 - 0.565],0.513 [0.511 - 0.515],0.525 [0.447 - 0.597],0.513 [0.511 - 0.515],0.001 [0.001 - 0.001],0.039 [-0.040 - 0.111],0.002 [0.001 - 0.002]
