Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.636 [0.597 - 0.675],0.613 [0.611 - 0.615],0.615 [0.537 - 0.686],0.613 [0.611 - 0.615],0.001 [0.001 - 0.002],0.227 [0.151 - 0.298],0.002 [0.002 - 0.003]
Demographic,0.700 [0.663 - 0.736],0.633 [0.631 - 0.634],0.634 [0.578 - 0.693],0.633 [0.631 - 0.634],0.001 [0.001 - 0.002],0.267 [0.210 - 0.326],0.003 [0.002 - 0.003]
Metabolite+Demographic,0.699 [0.658 - 0.736],0.639 [0.637 - 0.641],0.649 [0.583 - 0.704],0.639 [0.637 - 0.641],0.001 [0.001 - 0.002],0.288 [0.223 - 0.343],0.003 [0.002 - 0.003]
