Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.656 [0.600 - 0.700],0.609 [0.607 - 0.611],0.607 [0.516 - 0.668],0.609 [0.607 - 0.611],0.001 [0.001 - 0.001],0.214 [0.124 - 0.277],0.002 [0.002 - 0.002]
Demographic,0.666 [0.623 - 0.716],0.624 [0.622 - 0.626],0.615 [0.549 - 0.715],0.624 [0.622 - 0.626],0.001 [0.001 - 0.001],0.239 [0.172 - 0.339],0.002 [0.002 - 0.003]
Metabolite+Demographic,0.678 [0.639 - 0.725],0.630 [0.629 - 0.632],0.626 [0.548 - 0.709],0.630 [0.629 - 0.632],0.001 [0.001 - 0.001],0.257 [0.179 - 0.340],0.002 [0.002 - 0.003]
