Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.627 [0.615 - 0.635],0.595 [0.594 - 0.598],0.596 [0.576 - 0.610],0.596 [0.594 - 0.598],0.025 [0.024 - 0.026],0.191 [0.172 - 0.206],0.048 [0.046 - 0.050]
Demographic,0.696 [0.686 - 0.704],0.645 [0.644 - 0.647],0.645 [0.629 - 0.658],0.645 [0.644 - 0.647],0.031 [0.030 - 0.032],0.290 [0.275 - 0.303],0.058 [0.056 - 0.061]
Metabolite+Demographic,0.702 [0.692 - 0.710],0.653 [0.652 - 0.655],0.652 [0.637 - 0.668],0.653 [0.652 - 0.655],0.032 [0.030 - 0.033],0.305 [0.290 - 0.320],0.060 [0.058 - 0.063]
