Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.549 [0.521 - 0.575],0.534 [0.532 - 0.536],0.534 [0.492 - 0.578],0.534 [0.532 - 0.536],0.002 [0.002 - 0.003],0.067 [0.025 - 0.112],0.004 [0.004 - 0.005]
Demographic,0.689 [0.657 - 0.709],0.638 [0.636 - 0.640],0.633 [0.589 - 0.678],0.638 [0.636 - 0.640],0.003 [0.003 - 0.004],0.272 [0.227 - 0.315],0.007 [0.006 - 0.008]
Metabolite+Demographic,0.680 [0.648 - 0.702],0.637 [0.635 - 0.639],0.636 [0.580 - 0.677],0.637 [0.635 - 0.639],0.003 [0.003 - 0.004],0.274 [0.217 - 0.314],0.007 [0.006 - 0.008]
