Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XXL-VLDL-C,0.65 [0.57-0.75],7.055e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-P,0.65 [0.57-0.75],5.585e-05,***,Concentration of Small LDL Particles
VLDL-PL,0.65 [0.58-0.74],1.272e-05,***,Phospholipids in VLDL
Val,0.65 [0.57-0.74],1.753e-06,***,Valine
VLDL-FC,0.65 [0.57-0.74],1.151e-05,***,Free Cholesterol in VLDL
XXL-VLDL-CE,0.65 [0.56-0.74],2.497e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-LDL-CE,0.65 [0.57-0.73],3.630e-06,***,Cholesteryl Esters in Small LDL
M-LDL-CE,0.65 [0.57-0.73],5.283e-07,***,Cholesteryl Esters in Medium LDL
VLDL-TG,0.64 [0.57-0.73],6.138e-06,***,Triglycerides in VLDL
Total-BCAA,0.64 [0.57-0.73],5.594e-07,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-VLDL-P,0.64 [0.56-0.73],1.011e-05,***,Concentration of Medium VLDL Particles
Leu,0.64 [0.56-0.72],6.706e-07,***,Leucine
S-VLDL-P,0.64 [0.56-0.73],1.120e-05,***,Concentration of Small VLDL Particles
M-LDL-P,0.63 [0.56-0.72],2.442e-06,***,Concentration of Medium LDL Particles
M-VLDL-TG,0.63 [0.55-0.72],1.881e-06,***,Triglycerides in Medium VLDL
L-VLDL-CE,0.63 [0.55-0.72],1.103e-06,***,Cholesteryl Esters in Large VLDL
VLDL-size,0.63 [0.56-0.71],2.846e-10,***,Average Diameter for VLDL Particles
XL-VLDL-TG,0.62 [0.54-0.72],4.168e-05,***,Triglycerides in Very Large VLDL
L-VLDL-TG,0.62 [0.54-0.71],4.586e-06,***,Triglycerides in Large VLDL
XL-HDL-TG%,0.62 [0.54-0.70],5.530e-08,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-L,0.62 [0.54-0.71],2.031e-06,***,Total-Lipids in Very Large VLDL
XL-HDL-C%,0.62 [0.55-0.70],2.399e-09,***,Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-L,0.62 [0.54-0.70],1.616e-07,***,Total-Lipids in Large VLDL
ApoB/ApoA1,0.61 [0.54-0.70],1.688e-09,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-CE,0.61 [0.54-0.70],1.137e-07,***,Cholesteryl Esters in Very Large VLDL
XL-VLDL-FC,0.61 [0.53-0.70],1.891e-06,***,Free Cholesterol in Very Large VLDL
XL-VLDL-PL,0.61 [0.53-0.70],2.575e-06,***,Phospholipids in Very Large VLDL
L-VLDL-C,0.61 [0.54-0.70],6.147e-08,***,Cholesterol in Large VLDL
XL-VLDL-C,0.61 [0.53-0.70],1.890e-07,***,Cholesterol in Very Large VLDL
L-VLDL-PL,0.61 [0.53-0.70],2.521e-07,***,Phospholipids in Large VLDL
XL-VLDL-P,0.60 [0.52-0.70],3.143e-06,***,Concentration of Very Large VLDL Particles
TG/PG,0.60 [0.53-0.69],6.240e-09,***,Triglycerides to Phosphoglycerides ratio
L-VLDL-P,0.60 [0.52-0.69],5.247e-07,***,Concentration of Large VLDL Particles
L-VLDL-FC,0.59 [0.51-0.68],1.869e-08,***,Free Cholesterol in Large VLDL
XL-HDL-FC%,0.55 [0.49-0.63],3.527e-14,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.43 [0.37-0.49],1.796e-30,***,Creatinine
