Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-FC%,1.27 [1.22-1.32],2.506e-29,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-CE%,1.27 [1.22-1.31],3.936e-34,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-FC%,1.26 [1.22-1.31],3.865e-35,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-L,1.26 [1.22-1.30],1.255e-33,***,Total-Lipids in Lipoprotein Particles
XXL-VLDL-FC%,1.25 [1.21-1.30],3.376e-37,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,1.25 [1.20-1.30],8.385e-26,***,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-C%,1.25 [1.20-1.29],2.633e-30,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-FC,1.25 [1.21-1.29],1.617e-33,***,Free Cholesterol in Large LDL
S-HDL-PL%,1.25 [1.20-1.29],8.215e-28,***,Phospholipids to Total-Lipids in Small HDL percentage
LA,1.24 [1.20-1.29],2.513e-30,***,Linoleic Acid
XS-VLDL-FC,1.24 [1.20-1.28],8.929e-35,***,Free Cholesterol in Very Small VLDL
XS-VLDL-L,1.24 [1.20-1.28],1.362e-32,***,Total-Lipids in Very Small VLDL
S-HDL-PL,1.24 [1.19-1.28],1.965e-28,***,Phospholipids in Small HDL
L-HDL-TG,1.23 [1.19-1.27],4.756e-30,***,Triglycerides in Large HDL
M-LDL-FC%,1.22 [1.18-1.27],1.898e-19,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C,1.22 [1.18-1.27],1.538e-26,***,Cholesterol in Large LDL
Omega-3,1.22 [1.18-1.27],6.358e-27,***,Omega-3 Fatty Acids
L-LDL-L,1.22 [1.18-1.26],5.002e-25,***,Total-Lipids in Large LDL
S-VLDL-C%,1.22 [1.17-1.26],3.159e-21,***,Cholesterol to Total-Lipids in Small VLDL percentage
PUFA/MUFA,1.22 [1.17-1.26],1.688e-18,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
