Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG,0.76 [0.73-0.80],5.081e-23,***,Triglycerides in Very Small VLDL
XL-HDL-PL%,0.76 [0.73-0.79],4.387e-49,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Omega-3,0.75 [0.72-0.79],2.368e-28,***,Omega-3 Fatty Acids
M-HDL-TG,0.75 [0.72-0.79],2.784e-27,***,Triglycerides in Medium HDL
XL-HDL-CE%,0.75 [0.72-0.78],3.191e-40,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
HDL-TG,0.74 [0.71-0.78],1.526e-29,***,Triglycerides in HDL
XXL-VLDL-C,0.73 [0.69-0.77],3.823e-30,***,Cholesterol in Chylomicrons and Extremely Large VLDL
M-LDL-FC%,0.73 [0.70-0.76],1.406e-51,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-PL,0.73 [0.69-0.76],1.274e-32,***,Phospholipids in Large VLDL
S-LDL-TG,0.72 [0.69-0.76],1.804e-30,***,Triglycerides in Small LDL
Gly,0.72 [0.69-0.76],1.590e-33,***,Glycine
DHA,0.71 [0.68-0.75],3.328e-39,***,Docosahexaenoic Acid
L-VLDL-L,0.71 [0.68-0.75],2.885e-38,***,Total-Lipids in Large VLDL
L-LDL-CE%,0.71 [0.68-0.74],1.622e-57,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-P,0.71 [0.68-0.75],7.551e-36,***,Concentration of Large VLDL Particles
XL-VLDL-PL,0.70 [0.67-0.74],2.689e-39,***,Phospholipids in Very Large VLDL
L-HDL-CE%,0.69 [0.67-0.72],2.588e-95,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-VLDL-TG,0.69 [0.66-0.72],8.498e-46,***,Triglycerides in Medium VLDL
XXL-VLDL-CE%,0.69 [0.66-0.72],8.377e-54,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-TG,0.69 [0.65-0.72],4.257e-41,***,Triglycerides in Medium LDL
XXL-VLDL-CE,0.68 [0.65-0.72],1.830e-44,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
LDL-size,0.67 [0.64-0.70],7.389e-80,***,Average Diameter for LDL Particles
L-VLDL-FC,0.67 [0.64-0.70],4.255e-51,***,Free Cholesterol in Large VLDL
XL-VLDL-FC,0.64 [0.61-0.68],1.505e-58,***,Free Cholesterol in Very Large VLDL
IDL-FC%,0.64 [0.62-0.67],6.041e-106,***,Free Cholesterol to Total-Lipids in IDL percentage
LDL-TG,0.63 [0.60-0.66],1.554e-62,***,Triglycerides in LDL
S-HDL-CE,0.62 [0.60-0.65],1.755e-92,***,Cholesteryl Esters in Small HDL
L-HDL-C%,0.62 [0.60-0.64],1.453e-174,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-PL%,0.62 [0.60-0.64],2.255e-198,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
IDL-TG,0.61 [0.58-0.64],2.629e-74,***,Triglycerides in IDL
S-HDL-PL,0.60 [0.57-0.63],4.384e-105,***,Phospholipids in Small HDL
L-LDL-TG,0.60 [0.57-0.63],1.130e-76,***,Triglycerides in Large LDL
