Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XXL-VLDL-PL,0.62 [0.53-0.72],1.714e-04,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,0.61 [0.53-0.71],3.403e-06,***,Total-Lipids in Very Large VLDL
XXL-VLDL-P,0.61 [0.52-0.72],2.303e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-TG,0.61 [0.52-0.71],1.499e-05,***,Triglycerides in Very Large VLDL
L-VLDL-P,0.61 [0.52-0.70],3.624e-06,***,Concentration of Large VLDL Particles
L-VLDL-FC,0.60 [0.52-0.70],6.220e-07,***,Free Cholesterol in Large VLDL
XL-VLDL-FC,0.60 [0.52-0.70],2.352e-06,***,Free Cholesterol in Very Large VLDL
XL-HDL-FC%,0.60 [0.53-0.69],1.578e-08,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-PL,0.60 [0.52-0.70],2.134e-06,***,Phospholipids in Very Large VLDL
XL-VLDL-P,0.59 [0.51-0.69],2.816e-06,***,Concentration of Very Large VLDL Particles
Creatinine,0.46 [0.40-0.53],2.787e-22,***,Creatinine
