Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-C,0.66 [0.59-0.73],3.919e-09,***,Cholesterol in Very Small VLDL
IDL-PL,0.66 [0.59-0.73],8.320e-10,***,Phospholipids in IDL
IDL-FC,0.66 [0.59-0.73],7.841e-10,***,Free Cholesterol in IDL
DHA,0.65 [0.58-0.73],5.010e-08,***,Docosahexaenoic Acid
XS-VLDL-CE,0.64 [0.58-0.72],1.913e-10,***,Cholesteryl Esters in Very Small VLDL
Total-PL,0.64 [0.58-0.71],1.566e-13,***,Total-Phospholipids in Lipoprotein Particles
XL-HDL-FC,0.64 [0.57-0.72],6.600e-09,***,Free Cholesterol in Very Large HDL
M-HDL-PL,0.64 [0.57-0.71],6.293e-11,***,Phospholipids in Medium HDL
M-HDL-L,0.63 [0.57-0.70],2.319e-12,***,Total-Lipids in Medium HDL
Phosphoglyc,0.63 [0.57-0.69],8.589e-15,***,Phosphoglycerides
HDL-P,0.62 [0.56-0.69],1.867e-12,***,Concentration of HDL Particles
SM,0.62 [0.56-0.69],1.107e-14,***,Sphingomyelins
Cholines,0.62 [0.56-0.68],3.331e-16,***,Total-Cholines
Total-P,0.62 [0.56-0.69],2.325e-13,***,Total-Concentration of Lipoprotein Particles
M-HDL-FC%,0.62 [0.56-0.68],8.449e-21,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
PC,0.62 [0.56-0.68],4.094e-16,***,Phosphatidylcholines
M-HDL-CE,0.62 [0.55-0.69],9.259e-13,***,Cholesteryl Esters in Medium HDL
M-HDL-C,0.61 [0.55-0.68],1.418e-13,***,Cholesterol in Medium HDL
M-HDL-P,0.60 [0.53-0.67],1.465e-13,***,Concentration of Medium HDL Particles
ApoA1,0.60 [0.54-0.67],9.062e-16,***,Apolipoprotein A1
HDL-PL,0.59 [0.53-0.65],1.363e-16,***,Phospholipids in HDL
M-HDL-FC,0.58 [0.52-0.65],9.689e-16,***,Free Cholesterol in Medium HDL
HDL-L,0.58 [0.52-0.64],3.197e-18,***,Total-Lipids in HDL
HDL-CE,0.56 [0.50-0.63],4.333e-18,***,Cholesteryl Esters in HDL
HDL-size,0.56 [0.49-0.63],4.373e-15,***,Average Diameter for HDL Particles
HDL-C,0.56 [0.50-0.62],4.425e-19,***,HDL Cholesterol
XL-HDL-PL,0.56 [0.49-0.63],1.449e-13,***,Phospholipids in Very Large HDL
XL-HDL-L,0.55 [0.49-0.63],2.510e-14,***,Total-Lipids in Very Large HDL
XL-HDL-C,0.55 [0.49-0.63],2.229e-14,***,Cholesterol in Very Large HDL
XL-HDL-P,0.54 [0.47-0.61],6.718e-15,***,Concentration of Very Large HDL Particles
L-HDL-PL,0.54 [0.47-0.61],1.364e-17,***,Phospholipids in Large HDL
XL-HDL-CE,0.54 [0.47-0.61],2.104e-15,***,Cholesteryl Esters in Very Large HDL
HDL-FC,0.53 [0.48-0.60],3.083e-20,***,Free Cholesterol in HDL
L-HDL-L,0.53 [0.47-0.60],1.778e-18,***,Total-Lipids in Large HDL
L-HDL-CE,0.52 [0.46-0.60],2.395e-17,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.52 [0.46-0.59],7.756e-18,***,Cholesterol in Large HDL
L-HDL-FC,0.51 [0.44-0.58],3.796e-18,***,Free Cholesterol in Large HDL
L-HDL-P,0.50 [0.44-0.57],4.687e-18,***,Concentration of Large HDL Particles
