Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL,0.89 [0.87-0.90],9.016e-35,***,Phospholipids in Medium HDL
L-VLDL-FC%,0.89 [0.87-0.90],1.737e-35,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
DHA,0.88 [0.87-0.90],2.326e-35,***,Docosahexaenoic Acid
Omega-6%,0.88 [0.86-0.89],5.431e-43,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-C%,0.88 [0.86-0.89],6.899e-43,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-PL,0.88 [0.86-0.89],4.501e-38,***,Phospholipids in Large VLDL
L-VLDL-P,0.87 [0.86-0.89],2.868e-41,***,Concentration of Large VLDL Particles
XXL-VLDL-CE,0.87 [0.86-0.89],2.079e-42,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,0.87 [0.85-0.89],1.031e-44,***,Phospholipids in Very Large VLDL
M-HDL-L,0.87 [0.85-0.88],1.405e-48,***,Total-Lipids in Medium HDL
S-HDL-PL,0.87 [0.85-0.88],4.601e-52,***,Phospholipids in Small HDL
L-VLDL-L,0.87 [0.85-0.88],2.007e-48,***,Total-Lipids in Large VLDL
M-HDL-CE,0.87 [0.85-0.88],7.831e-50,***,Cholesteryl Esters in Medium HDL
M-VLDL-TG,0.87 [0.85-0.88],5.395e-49,***,Triglycerides in Medium VLDL
XL-HDL-TG,0.86 [0.85-0.88],1.202e-52,***,Triglycerides in Very Large HDL
PUFA/MUFA,0.86 [0.84-0.87],3.288e-55,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-C%,0.86 [0.84-0.87],4.092e-63,***,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-C,0.85 [0.84-0.87],5.335e-60,***,Cholesterol in Medium HDL
XXL-VLDL-CE%,0.85 [0.84-0.87],1.764e-56,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA,0.85 [0.84-0.87],1.513e-60,***,Monounsaturated Fatty Acids
LDL-size,0.85 [0.83-0.86],5.997e-74,***,Average Diameter for LDL Particles
S-LDL-FC%,0.85 [0.83-0.86],1.690e-87,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-L,0.85 [0.83-0.86],2.243e-71,***,Total-Lipids in Small HDL
L-LDL-CE%,0.85 [0.83-0.86],9.519e-79,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-P,0.85 [0.83-0.86],4.631e-66,***,Concentration of Medium HDL Particles
L-VLDL-FC,0.85 [0.83-0.86],5.083e-65,***,Free Cholesterol in Large VLDL
HDL-size,0.84 [0.83-0.86],5.856e-57,***,Average Diameter for HDL Particles
XL-VLDL-FC,0.84 [0.83-0.86],6.402e-68,***,Free Cholesterol in Very Large VLDL
XL-HDL-CE%,0.84 [0.82-0.85],9.512e-94,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-PL,0.83 [0.81-0.85],7.272e-72,***,Phospholipids in Large HDL
HDL-PL,0.83 [0.81-0.84],1.901e-88,***,Phospholipids in HDL
S-HDL-CE,0.83 [0.81-0.84],1.319e-95,***,Cholesteryl Esters in Small HDL
L-HDL-CE%,0.82 [0.81-0.83],2.222e-131,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.82 [0.80-0.83],4.307e-121,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-FC,0.81 [0.80-0.83],1.369e-99,***,Free Cholesterol in Medium HDL
S-HDL-C,0.81 [0.79-0.82],3.401e-119,***,Cholesterol in Small HDL
ApoA1,0.80 [0.79-0.82],3.004e-119,***,Apolipoprotein A1
S-HDL-P,0.80 [0.78-0.81],9.835e-130,***,Concentration of Small HDL Particles
L-HDL-L,0.80 [0.78-0.81],2.153e-103,***,Total-Lipids in Large HDL
HDL-L,0.80 [0.78-0.81],1.647e-123,***,Total-Lipids in HDL
S-VLDL-P,0.79 [0.78-0.81],1.051e-128,***,Concentration of Small VLDL Particles
L-VLDL-C,0.79 [0.77-0.80],1.966e-133,***,Cholesterol in Large VLDL
S-HDL-FC,0.78 [0.77-0.80],7.411e-156,***,Free Cholesterol in Small HDL
HDL-CE,0.78 [0.77-0.80],2.850e-137,***,Cholesteryl Esters in HDL
IDL-FC%,0.78 [0.77-0.79],1.587e-187,***,Free Cholesterol to Total-Lipids in IDL percentage
VLDL-L,0.78 [0.77-0.80],5.679e-152,***,Total-Lipids in VLDL
L-HDL-CE,0.78 [0.76-0.80],4.154e-117,***,Cholesteryl Esters in Large HDL
M-LDL-CE%,0.78 [0.77-0.79],1.185e-163,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-HDL-C%,0.78 [0.77-0.79],1.141e-216,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-C,0.78 [0.76-0.79],1.655e-147,***,Cholesterol in Very Large VLDL
L-HDL-C,0.77 [0.76-0.79],3.050e-125,***,Cholesterol in Large HDL
HDL-P,0.77 [0.76-0.79],1.220e-161,***,Concentration of HDL Particles
L-HDL-P,0.77 [0.76-0.79],3.975e-120,***,Concentration of Large HDL Particles
HDL-C,0.77 [0.76-0.79],6.260e-156,***,HDL Cholesterol
XL-HDL-PL,0.77 [0.75-0.79],2.874e-122,***,Phospholipids in Very Large HDL
L-HDL-FC,0.76 [0.75-0.78],3.986e-136,***,Free Cholesterol in Large HDL
XL-VLDL-PL%,0.76 [0.75-0.77],3.612e-252,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-VLDL-L,0.76 [0.75-0.77],8.746e-184,***,Total-Lipids in Small VLDL
L-VLDL-C%,0.76 [0.74-0.77],3.567e-200,***,Cholesterol to Total-Lipids in Large VLDL percentage
SFA,0.76 [0.74-0.77],4.451e-199,***,Saturated Fatty Acids
Total-FA,0.74 [0.73-0.75],7.046e-239,***,Total-Fatty Acids
HDL-FC,0.74 [0.72-0.75],7.804e-197,***,Free Cholesterol in HDL
