Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-C%,0.77 [0.72-0.83],9.634e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
Total-L,0.77 [0.71-0.84],3.572e-05,***,Total-Lipids in Lipoprotein Particles
L-LDL-C,0.77 [0.71-0.84],8.362e-05,***,Cholesterol in Large LDL
XS-VLDL-P,0.77 [0.71-0.84],9.899e-04,***,Concentration of Very Small VLDL Particles
IDL-P,0.77 [0.71-0.84],3.355e-04,***,Concentration of IDL Particles
M-VLDL-CE,0.76 [0.70-0.83],1.080e-04,***,Cholesteryl Esters in Medium VLDL
LDL-size,0.76 [0.71-0.82],7.734e-07,***,Average Diameter for LDL Particles
M-LDL-FC%,0.76 [0.71-0.82],3.969e-08,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE%,0.76 [0.71-0.82],7.150e-08,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Omega-3,0.76 [0.69-0.83],4.389e-04,***,Omega-3 Fatty Acids
L-HDL-TG,0.76 [0.69-0.83],4.388e-04,***,Triglycerides in Large HDL
IDL-C%,0.76 [0.70-0.81],4.684e-09,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-L,0.75 [0.69-0.82],2.369e-05,***,Total-Lipids in Very Small VLDL
L-VLDL-C%,0.74 [0.69-0.81],5.863e-07,***,Cholesterol to Total-Lipids in Large VLDL percentage
Omega-6,0.74 [0.69-0.81],1.487e-07,***,Omega-6 Fatty Acids
L-LDL-C%,0.74 [0.69-0.80],8.368e-10,***,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-FC,0.74 [0.68-0.81],4.213e-06,***,Free Cholesterol in Very Small VLDL
L-LDL-FC,0.74 [0.68-0.80],3.047e-07,***,Free Cholesterol in Large LDL
S-HDL-FC,0.74 [0.68-0.80],2.466e-07,***,Free Cholesterol in Small HDL
DHA%,0.74 [0.68-0.80],3.402e-07,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-FC%,0.74 [0.69-0.79],5.363e-11,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE%,0.73 [0.69-0.78],2.106e-18,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,0.73 [0.68-0.78],3.230e-16,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PUFA,0.73 [0.67-0.79],3.512e-09,***,Polyunsaturated Fatty Acids
PUFA/MUFA,0.73 [0.67-0.79],1.213e-08,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-VLDL-FC%,0.72 [0.66-0.79],3.365e-07,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-FC,0.72 [0.67-0.78],5.509e-10,***,Total-Free Cholesterol
XL-HDL-PL%,0.72 [0.68-0.76],1.533e-22,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-VLDL-PL%,0.72 [0.67-0.77],1.057e-13,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XXL-VLDL-FC%,0.72 [0.65-0.79],3.614e-06,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-FC%,0.71 [0.66-0.77],8.141e-13,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
