Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-TG,0.70 [0.63-0.78],1.450e-06,***,Triglycerides in Large VLDL
XL-VLDL-C,0.70 [0.63-0.77],4.992e-07,***,Cholesterol in Very Large VLDL
L-VLDL-L,0.70 [0.64-0.77],1.658e-07,***,Total-Lipids in Large VLDL
L-VLDL-PL,0.70 [0.63-0.77],3.099e-07,***,Phospholipids in Large VLDL
L-VLDL-P,0.69 [0.62-0.77],4.713e-07,***,Concentration of Large VLDL Particles
XL-VLDL-FC,0.69 [0.62-0.76],1.344e-07,***,Free Cholesterol in Very Large VLDL
L-VLDL-FC,0.69 [0.62-0.76],3.994e-08,***,Free Cholesterol in Large VLDL
XXL-VLDL-FC,0.69 [0.62-0.76],8.128e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,0.68 [0.62-0.76],5.263e-08,***,Total-Lipids in Very Large VLDL
XXL-VLDL-CE,0.68 [0.62-0.76],1.537e-07,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,0.68 [0.61-0.76],2.859e-07,***,Triglycerides in Very Large VLDL
XXL-VLDL-C,0.68 [0.61-0.76],1.768e-07,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,0.68 [0.61-0.76],7.704e-08,***,Phospholipids in Very Large VLDL
XXL-VLDL-P,0.68 [0.61-0.76],1.821e-06,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-P,0.68 [0.61-0.76],1.656e-07,***,Concentration of Very Large VLDL Particles
XXL-VLDL-TG,0.68 [0.61-0.76],6.646e-07,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,0.68 [0.61-0.75],1.207e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,0.68 [0.61-0.75],3.866e-07,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-HDL-TG%,0.68 [0.61-0.74],3.649e-10,***,Triglycerides to Total-Lipids in Very Large HDL percentage
VLDL-size,0.66 [0.61-0.73],1.918e-14,***,Average Diameter for VLDL Particles
TG/PG,0.64 [0.58-0.70],1.039e-13,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-FC%,0.61 [0.56-0.68],8.055e-17,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.51 [0.46-0.56],3.890e-33,***,Creatinine
