Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XXL-VLDL-C%,1.18 [1.11-1.25],0.015,*,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-CE,0.84 [0.78-0.89],0.029,*,Cholesteryl Esters in Very Large VLDL
Total-TG,0.83 [0.78-0.89],0.011,*,Total-Triglycerides
MUFA%,0.83 [0.78-0.89],0.013,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG%,0.83 [0.78-0.89],0.002,**,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-C,0.83 [0.77-0.88],0.004,**,Cholesterol in Large VLDL
M-VLDL-TG,0.83 [0.77-0.88],0.004,**,Triglycerides in Medium VLDL
Ile,0.82 [0.77-0.88],0.007,**,Isoleucine
XL-VLDL-C,0.81 [0.76-0.87],3.268e-04,***,Cholesterol in Very Large VLDL
XS-VLDL-TG%,0.81 [0.76-0.87],9.142e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
ApoB/ApoA1,0.81 [0.76-0.86],2.863e-05,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-TG%,0.80 [0.75-0.86],7.703e-06,***,Triglycerides to Total-Lipids in Medium VLDL percentage
VLDL-TG,0.80 [0.74-0.85],7.094e-06,***,Triglycerides in VLDL
Val,0.80 [0.74-0.85],7.739e-06,***,Valine
M-HDL-PL%,0.79 [0.74-0.85],3.021e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-L,0.79 [0.74-0.85],2.512e-06,***,Total-Lipids in Large VLDL
XL-VLDL-FC,0.79 [0.74-0.85],8.156e-06,***,Free Cholesterol in Very Large VLDL
S-HDL-TG%,0.79 [0.74-0.84],2.446e-07,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-PL,0.79 [0.74-0.85],4.346e-06,***,Phospholipids in Large VLDL
L-VLDL-P,0.79 [0.74-0.85],8.009e-06,***,Concentration of Large VLDL Particles
L-VLDL-FC,0.79 [0.74-0.85],3.438e-06,***,Free Cholesterol in Large VLDL
XXL-VLDL-CE,0.79 [0.73-0.84],5.873e-06,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Total-BCAA,0.78 [0.73-0.84],5.986e-07,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-C,0.78 [0.73-0.84],2.279e-06,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,0.78 [0.73-0.84],7.388e-07,***,Phospholipids in Very Large VLDL
XXL-VLDL-FC,0.78 [0.72-0.84],1.905e-06,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,0.78 [0.73-0.83],4.580e-07,***,Triglycerides in Large VLDL
XL-VLDL-L,0.78 [0.72-0.83],1.850e-07,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,0.77 [0.72-0.83],4.393e-07,***,Concentration of Very Large VLDL Particles
L-HDL-TG%,0.77 [0.72-0.83],3.691e-09,***,Triglycerides to Total-Lipids in Large HDL percentage
Leu,0.77 [0.72-0.82],1.649e-08,***,Leucine
XXL-VLDL-P,0.77 [0.71-0.82],3.663e-07,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
