Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,0.72 [0.65-0.79],2.992e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-FC,0.71 [0.65-0.79],7.321e-06,***,Free Cholesterol in Small LDL
LDL-L,0.71 [0.65-0.78],4.496e-07,***,Total-Lipids in LDL
M-HDL-PL%,0.71 [0.63-0.79],3.406e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
LDL-CE,0.70 [0.64-0.77],8.863e-08,***,Cholesteryl Esters in LDL
M-LDL-FC,0.70 [0.63-0.77],6.643e-07,***,Free Cholesterol in Medium LDL
LDL-PL,0.70 [0.63-0.77],1.792e-07,***,Phospholipids in LDL
L-LDL-P,0.69 [0.62-0.77],4.794e-06,***,Concentration of Large LDL Particles
Sc-ala,0.69 [0.63-0.76],3.500e-09,***,Spectrometer-corrected alanine
M-LDL-CE%,0.69 [0.63-0.75],2.710e-12,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-TG%,0.69 [0.63-0.75],1.024e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-VLDL-C,0.68 [0.61-0.76],2.044e-07,***,Cholesterol in Medium VLDL
M-LDL-TG,0.68 [0.61-0.76],2.892e-06,***,Triglycerides in Medium LDL
S-LDL-PL,0.67 [0.60-0.74],1.444e-09,***,Phospholipids in Small LDL
ApoB,0.67 [0.60-0.74],6.830e-10,***,Apolipoprotein B
S-HDL-TG%,0.65 [0.59-0.72],2.946e-13,***,Triglycerides to Total-Lipids in Small HDL percentage
LDL-P,0.65 [0.58-0.72],6.941e-10,***,Concentration of LDL Particles
S-HDL-TG,0.65 [0.58-0.72],1.486e-09,***,Triglycerides in Small HDL
M-LDL-L,0.65 [0.59-0.71],1.203e-13,***,Total-Lipids in Medium LDL
M-LDL-C,0.65 [0.59-0.71],3.085e-13,***,Cholesterol in Medium LDL
VLDL-CE,0.65 [0.58-0.72],1.918e-11,***,Cholesteryl Esters in VLDL
M-LDL-PL,0.64 [0.58-0.71],5.429e-13,***,Phospholipids in Medium LDL
XL-HDL-C%,0.64 [0.58-0.70],3.819e-14,***,Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-TG,0.64 [0.57-0.72],8.369e-09,***,Triglycerides in Small LDL
S-LDL-C,0.64 [0.58-0.71],6.054e-13,***,Cholesterol in Small LDL
L-HDL-TG%,0.64 [0.58-0.70],2.081e-15,***,Triglycerides to Total-Lipids in Large HDL percentage
S-LDL-L,0.64 [0.58-0.70],4.049e-13,***,Total-Lipids in Small LDL
S-VLDL-TG,0.64 [0.57-0.71],1.658e-11,***,Triglycerides in Small VLDL
S-VLDL-FC,0.63 [0.57-0.70],1.046e-11,***,Free Cholesterol in Small VLDL
M-LDL-CE,0.63 [0.57-0.69],6.762e-15,***,Cholesteryl Esters in Medium LDL
Total-TG,0.62 [0.56-0.69],5.455e-14,***,Total-Triglycerides
VLDL-C,0.62 [0.56-0.69],7.761e-15,***,VLDL Cholesterol
S-LDL-CE,0.62 [0.56-0.69],1.432e-14,***,Cholesteryl Esters in Small LDL
M-VLDL-FC,0.62 [0.56-0.69],3.949e-13,***,Free Cholesterol in Medium VLDL
S-VLDL-C,0.61 [0.55-0.68],5.399e-14,***,Cholesterol in Small VLDL
VLDL-P,0.61 [0.55-0.68],2.957e-13,***,Concentration of VLDL Particles
S-VLDL-PL,0.61 [0.55-0.68],1.768e-14,***,Phospholipids in Small VLDL
M-LDL-P,0.61 [0.55-0.68],2.444e-14,***,Concentration of Medium LDL Particles
M-VLDL-PL,0.61 [0.55-0.68],6.004e-15,***,Phospholipids in Medium VLDL
XXL-VLDL-TG,0.61 [0.54-0.68],5.848e-11,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,0.61 [0.54-0.68],1.777e-11,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-L,0.60 [0.55-0.67],2.063e-16,***,Total-Lipids in Small VLDL
S-LDL-P,0.60 [0.54-0.67],1.101e-14,***,Concentration of Small LDL Particles
S-VLDL-CE,0.60 [0.54-0.67],9.756e-15,***,Cholesteryl Esters in Small VLDL
XXL-VLDL-L,0.60 [0.54-0.68],2.767e-12,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-VLDL-L,0.60 [0.55-0.67],1.089e-17,***,Total-Lipids in Medium VLDL
VLDL-L,0.60 [0.54-0.66],2.197e-19,***,Total-Lipids in VLDL
XXL-VLDL-C,0.60 [0.53-0.67],9.382e-13,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,0.60 [0.53-0.67],4.269e-13,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,0.60 [0.53-0.67],1.708e-11,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,0.60 [0.53-0.68],6.083e-11,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
VLDL-TG,0.60 [0.54-0.66],8.225e-17,***,Triglycerides in VLDL
VLDL-PL,0.59 [0.53-0.66],1.265e-17,***,Phospholipids in VLDL
M-VLDL-P,0.59 [0.53-0.66],5.192e-16,***,Concentration of Medium VLDL Particles
M-VLDL-TG,0.59 [0.53-0.66],8.898e-17,***,Triglycerides in Medium VLDL
VLDL-FC,0.59 [0.53-0.65],1.312e-17,***,Free Cholesterol in VLDL
VLDL-size,0.59 [0.54-0.64],8.590e-25,***,Average Diameter for VLDL Particles
S-VLDL-P,0.59 [0.52-0.65],5.130e-16,***,Concentration of Small VLDL Particles
XL-HDL-TG%,0.58 [0.52-0.64],1.302e-19,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-TG,0.57 [0.51-0.64],2.565e-16,***,Triglycerides in Large VLDL
ApoB/ApoA1,0.57 [0.52-0.63],1.988e-22,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-TG,0.57 [0.51-0.64],4.974e-15,***,Triglycerides in Very Large VLDL
Ile,0.57 [0.51-0.64],6.413e-18,***,Isoleucine
L-VLDL-CE,0.56 [0.51-0.63],5.297e-20,***,Cholesteryl Esters in Large VLDL
L-VLDL-L,0.56 [0.51-0.63],4.644e-20,***,Total-Lipids in Large VLDL
XL-VLDL-L,0.56 [0.50-0.63],3.881e-18,***,Total-Lipids in Very Large VLDL
XL-VLDL-CE,0.56 [0.50-0.62],1.057e-20,***,Cholesteryl Esters in Very Large VLDL
Val,0.55 [0.50-0.61],7.451e-24,***,Valine
L-VLDL-C,0.55 [0.49-0.61],1.139e-21,***,Cholesterol in Large VLDL
L-VLDL-PL,0.55 [0.49-0.62],9.419e-20,***,Phospholipids in Large VLDL
XL-VLDL-C,0.55 [0.49-0.61],1.470e-20,***,Cholesterol in Very Large VLDL
L-VLDL-P,0.55 [0.49-0.62],2.308e-18,***,Concentration of Large VLDL Particles
XL-VLDL-FC,0.55 [0.49-0.62],1.133e-18,***,Free Cholesterol in Very Large VLDL
TG/PG,0.55 [0.49-0.61],3.583e-23,***,Triglycerides to Phosphoglycerides ratio
XL-VLDL-PL,0.55 [0.49-0.62],2.097e-18,***,Phospholipids in Very Large VLDL
XL-VLDL-P,0.55 [0.48-0.62],1.784e-17,***,Concentration of Very Large VLDL Particles
Total-BCAA,0.54 [0.49-0.60],1.140e-25,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,0.54 [0.48-0.60],1.217e-24,***,Leucine
L-VLDL-FC,0.54 [0.48-0.60],1.435e-21,***,Free Cholesterol in Large VLDL
XL-HDL-FC%,0.53 [0.48-0.59],1.143e-27,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.42 [0.38-0.47],3.690e-49,***,Creatinine
