Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.577 [0.559 - 0.592],0.557 [0.554 - 0.559],0.559 [0.527 - 0.587],0.557 [0.554 - 0.559],0.009 [0.008 - 0.009],0.115 [0.083 - 0.145],0.017 [0.016 - 0.018]
Demographic,0.607 [0.592 - 0.623],0.585 [0.583 - 0.587],0.585 [0.560 - 0.613],0.585 [0.583 - 0.587],0.010 [0.009 - 0.010],0.169 [0.145 - 0.197],0.019 [0.018 - 0.020]
Metabolite+Demographic,0.611 [0.592 - 0.624],0.585 [0.583 - 0.587],0.587 [0.558 - 0.619],0.585 [0.583 - 0.587],0.010 [0.009 - 0.010],0.171 [0.143 - 0.204],0.019 [0.018 - 0.020]
