Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.553 [0.545 - 0.561],0.538 [0.536 - 0.540],0.538 [0.525 - 0.549],0.538 [0.536 - 0.540],0.035 [0.034 - 0.036],0.076 [0.062 - 0.088],0.066 [0.064 - 0.068]
Demographic,0.586 [0.579 - 0.592],0.563 [0.561 - 0.564],0.563 [0.552 - 0.573],0.563 [0.561 - 0.564],0.039 [0.038 - 0.040],0.125 [0.114 - 0.135],0.073 [0.071 - 0.074]
Metabolite+Demographic,0.586 [0.579 - 0.591],0.562 [0.560 - 0.564],0.561 [0.552 - 0.573],0.562 [0.560 - 0.564],0.039 [0.038 - 0.040],0.124 [0.114 - 0.135],0.072 [0.071 - 0.074]
