Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.649 [0.623 - 0.679],0.613 [0.612 - 0.616],0.614 [0.572 - 0.657],0.613 [0.612 - 0.616],0.005 [0.004 - 0.005],0.227 [0.186 - 0.270],0.010 [0.009 - 0.011]
Demographic,0.546 [0.521 - 0.572],0.550 [0.547 - 0.553],0.549 [0.499 - 0.588],0.550 [0.547 - 0.553],0.004 [0.003 - 0.004],0.098 [0.049 - 0.138],0.007 [0.007 - 0.008]
Metabolite+Demographic,0.651 [0.626 - 0.677],0.619 [0.617 - 0.621],0.620 [0.577 - 0.664],0.619 [0.617 - 0.621],0.005 [0.004 - 0.005],0.239 [0.196 - 0.282],0.010 [0.009 - 0.011]
