Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.477 [0.436 - 0.514],0.488 [0.486 - 0.490],0.492 [0.428 - 0.552],0.488 [0.486 - 0.490],0.001 [0.001 - 0.001],-0.020 [-0.084 - 0.040],0.002 [0.002 - 0.003]
Demographic,0.569 [0.540 - 0.602],0.546 [0.544 - 0.548],0.543 [0.493 - 0.606],0.546 [0.544 - 0.548],0.001 [0.001 - 0.002],0.089 [0.040 - 0.151],0.003 [0.002 - 0.003]
Metabolite+Demographic,0.532 [0.496 - 0.566],0.537 [0.535 - 0.539],0.542 [0.483 - 0.592],0.537 [0.535 - 0.538],0.001 [0.001 - 0.002],0.079 [0.021 - 0.127],0.003 [0.002 - 0.003]
