Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.575 [0.568 - 0.580],0.557 [0.555 - 0.560],0.556 [0.545 - 0.567],0.557 [0.555 - 0.560],0.058 [0.056 - 0.060],0.114 [0.104 - 0.124],0.105 [0.101 - 0.108]
Demographic,0.627 [0.622 - 0.633],0.591 [0.589 - 0.593],0.590 [0.580 - 0.599],0.591 [0.589 - 0.593],0.066 [0.064 - 0.068],0.181 [0.171 - 0.190],0.119 [0.116 - 0.122]
Metabolite+Demographic,0.632 [0.627 - 0.639],0.594 [0.592 - 0.596],0.593 [0.584 - 0.604],0.594 [0.592 - 0.596],0.067 [0.065 - 0.069],0.187 [0.178 - 0.197],0.120 [0.117 - 0.124]
