Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.521 [0.479 - 0.573],0.512 [0.510 - 0.514],0.517 [0.424 - 0.612],0.512 [0.510 - 0.514],0.001 [0.001 - 0.001],0.029 [-0.063 - 0.124],0.001 [0.001 - 0.002]
Demographic,0.536 [0.492 - 0.578],0.528 [0.525 - 0.530],0.529 [0.454 - 0.617],0.528 [0.525 - 0.530],0.001 [0.001 - 0.001],0.056 [-0.017 - 0.144],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.567 [0.515 - 0.621],0.561 [0.558 - 0.563],0.559 [0.470 - 0.651],0.561 [0.558 - 0.563],0.001 [0.001 - 0.001],0.120 [0.031 - 0.212],0.002 [0.001 - 0.002]
