Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.542 [0.538 - 0.546],0.530 [0.528 - 0.532],0.530 [0.523 - 0.537],0.530 [0.528 - 0.533],0.122 [0.120 - 0.124],0.060 [0.054 - 0.068],0.199 [0.195 - 0.201]
Demographic,0.567 [0.563 - 0.570],0.549 [0.546 - 0.550],0.547 [0.542 - 0.554],0.549 [0.547 - 0.551],0.130 [0.128 - 0.132],0.096 [0.091 - 0.103],0.210 [0.207 - 0.213]
Metabolite+Demographic,0.568 [0.565 - 0.573],0.549 [0.547 - 0.551],0.549 [0.543 - 0.556],0.549 [0.547 - 0.551],0.131 [0.128 - 0.132],0.098 [0.093 - 0.105],0.211 [0.208 - 0.213]
