Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.582 [0.523 - 0.633],0.555 [0.554 - 0.557],0.555 [0.468 - 0.639],0.555 [0.554 - 0.557],0.001 [0.001 - 0.001],0.110 [0.023 - 0.195],0.001 [0.001 - 0.002]
Demographic,0.507 [0.460 - 0.563],0.500 [0.498 - 0.502],0.493 [0.416 - 0.610],0.500 [0.499 - 0.502],0.001 [0.000 - 0.001],-0.006 [-0.082 - 0.111],0.001 [0.001 - 0.001]
Metabolite+Demographic,0.592 [0.528 - 0.634],0.577 [0.575 - 0.579],0.573 [0.471 - 0.658],0.577 [0.575 - 0.579],0.001 [0.001 - 0.001],0.150 [0.048 - 0.234],0.001 [0.001 - 0.002]
