Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-FC%,"0.918 [0.904,0.931]",2.021e-25,***,Free Cholesterol to Total-Lipids in Small HDL percentage
Gln,"0.917 [0.905,0.929]",2.059e-32,***,Glutamine
XL-VLDL-CE%,"0.916 [0.903,0.929]",3.676e-27,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-LDL-PL%,"0.913 [0.900,0.925]",1.557e-34,***,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-C%,"0.904 [0.892,0.917]",7.646e-39,***,Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-C%,"0.903 [0.889,0.916]",2.474e-36,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-PL%,"0.902 [0.889,0.915]",7.998e-38,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,"0.897 [0.885,0.910]",1.562e-45,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,"0.893 [0.880,0.906]",3.184e-47,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,"0.884 [0.872,0.896]",1.731e-67,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
Gly,"0.883 [0.867,0.900]",2.260e-33,***,Glycine
XL-VLDL-FC%,"0.868 [0.855,0.882]",2.557e-68,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Citrate,"0.851 [0.839,0.863]",1.377e-105,***,Citrate
ApoB/ApoA1,"0.850 [0.839,0.862]",1.650e-116,***,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-PL%,"0.850 [0.839,0.861]",6.671e-120,***,Phospholipids to Total-Lipids in IDL percentage
PUFA/MUFA,"0.847 [0.836,0.858]",1.970e-124,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-HDL-FC,"0.844 [0.829,0.859]",1.120e-74,***,Free Cholesterol in Very Large HDL
S-LDL-PL%,"0.830 [0.819,0.842]",2.821e-145,***,Phospholipids to Total-Lipids in Small LDL percentage
PUFA%,"0.829 [0.818,0.840]",1.309e-176,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,"0.824 [0.813,0.834]",5.252e-190,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA%,"0.788 [0.777,0.798]",7.649e-263,***,Linoleic Acid to Total-Fatty Acids percentage
