Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,"0.662 [0.628,0.696]",0.000e+00,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,"0.614 [0.579,0.648]",2.282e-258,***,Glycoprotein Acetyls
L-VLDL-PL%,"0.602 [0.560,0.645]",3.149e-163,***,Phospholipids to Total-Lipids in Large VLDL percentage
TG/PG,"0.589 [0.554,0.624]",7.319e-230,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,"0.568 [0.531,0.604]",3.320e-198,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-PL%,"0.565 [0.531,0.600]",5.500e-221,***,Phospholipids to Total-Lipids in Medium HDL percentage
VLDL-size,"0.552 [0.515,0.588]",2.509e-191,***,Average Diameter for VLDL Particles
XL-HDL-TG%,"0.523 [0.488,0.557]",1.171e-185,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,"0.512 [0.477,0.548]",3.750e-173,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,"0.501 [0.464,0.538]",2.901e-151,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,"0.501 [0.462,0.540]",1.357e-131,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-TG%,"0.485 [0.452,0.519]",5.452e-172,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG,"0.478 [0.443,0.513]",3.201e-150,***,Triglycerides in Small HDL
XXL-VLDL-L,"0.472 [0.438,0.505]",2.453e-162,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,"0.468 [0.433,0.502]",4.194e-151,***,Total-Lipids in Very Large VLDL
XL-VLDL-TG,"0.465 [0.431,0.499]",1.151e-153,***,Triglycerides in Very Large VLDL
VLDL-TG,"0.465 [0.430,0.499]",2.086e-149,***,Triglycerides in VLDL
M-VLDL-TG%,"0.463 [0.427,0.499]",8.757e-134,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XXL-VLDL-PL,"0.461 [0.428,0.494]",1.219e-156,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,"0.453 [0.419,0.488]",2.671e-144,***,Concentration of Very Large VLDL Particles
XXL-VLDL-TG,"0.453 [0.420,0.486]",4.606e-154,***,Triglycerides in Chylomicrons and Extremely Large VLDL
Total-TG,"0.452 [0.418,0.486]",1.858e-144,***,Total-Triglycerides
XL-VLDL-PL,"0.450 [0.416,0.484]",5.208e-141,***,Phospholipids in Very Large VLDL
XXL-VLDL-C,"0.449 [0.415,0.482]",6.871e-145,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"0.448 [0.415,0.481]",1.820e-150,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-FC,"0.448 [0.414,0.481]",4.443e-147,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
