Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-TG,"8.574 [8.306,8.842]",0.000e+00,***,Triglycerides in Medium HDL
HDL-TG,"8.152 [7.887,8.416]",0.000e+00,***,Triglycerides in HDL
S-HDL-PL,"8.085 [7.820,8.351]",0.000e+00,***,Phospholipids in Small HDL
L-HDL-TG,"7.944 [7.658,8.230]",0.000e+00,***,Triglycerides in Large HDL
Phosphoglyc,"7.913 [7.644,8.182]",0.000e+00,***,Phosphoglycerides
IDL-TG,"7.876 [7.614,8.139]",0.000e+00,***,Triglycerides in IDL
M-HDL-PL,"7.786 [7.504,8.067]",0.000e+00,***,Phospholipids in Medium HDL
PC,"7.688 [7.413,7.963]",0.000e+00,***,Phosphatidylcholines
SFA,"7.672 [7.422,7.921]",0.000e+00,***,Saturated Fatty Acids
S-HDL-TG,"7.661 [7.388,7.934]",0.000e+00,***,Triglycerides in Small HDL
S-HDL-FC,"7.656 [7.390,7.923]",0.000e+00,***,Free Cholesterol in Small HDL
L-LDL-TG,"7.640 [7.382,7.899]",0.000e+00,***,Triglycerides in Large LDL
XS-VLDL-TG,"7.547 [7.284,7.810]",0.000e+00,***,Triglycerides in Very Small VLDL
S-HDL-L,"7.504 [7.239,7.769]",0.000e+00,***,Total-Lipids in Small HDL
HDL-PL,"7.395 [7.100,7.690]",0.000e+00,***,Phospholipids in HDL
LDL-TG,"7.328 [7.072,7.584]",0.000e+00,***,Triglycerides in LDL
M-HDL-FC,"7.317 [7.013,7.620]",0.000e+00,***,Free Cholesterol in Medium HDL
Cholines,"7.303 [7.031,7.575]",0.000e+00,***,Total-Cholines
M-HDL-P,"7.246 [6.948,7.544]",0.000e+00,***,Concentration of Medium HDL Particles
M-HDL-L,"7.169 [6.886,7.452]",0.000e+00,***,Total-Lipids in Medium HDL
ApoA1,"7.123 [6.831,7.414]",0.000e+00,***,Apolipoprotein A1
MUFA,"7.047 [6.794,7.300]",0.000e+00,***,Monounsaturated Fatty Acids
Total-FA,"6.970 [6.718,7.222]",0.000e+00,***,Total-Fatty Acids
Total-PL,"6.949 [6.683,7.215]",0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
M-LDL-TG,"6.899 [6.645,7.152]",0.000e+00,***,Triglycerides in Medium LDL
Total-P,"6.837 [6.554,7.120]",0.000e+00,***,Total-Concentration of Lipoprotein Particles
HDL-FC,"6.837 [6.513,7.161]",0.000e+00,***,Free Cholesterol in HDL
HDL-P,"6.785 [6.499,7.071]",0.000e+00,***,Concentration of HDL Particles
HDL-L,"6.764 [6.466,7.062]",0.000e+00,***,Total-Lipids in HDL
XL-HDL-TG,"6.597 [6.337,6.858]",0.000e+00,***,Triglycerides in Very Large HDL
S-LDL-TG,"6.276 [6.023,6.528]",0.000e+00,***,Triglycerides in Small LDL
SFA%,"6.171 [5.925,6.418]",0.000e+00,***,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-P,"5.888 [5.620,6.156]",0.000e+00,***,Concentration of Small HDL Particles
GlycA,"5.883 [5.612,6.154]",0.000e+00,***,Glycoprotein Acetyls
Total-TG,"5.875 [5.610,6.140]",0.000e+00,***,Total-Triglycerides
S-VLDL-TG,"5.805 [5.539,6.071]",0.000e+00,***,Triglycerides in Small VLDL
M-HDL-C,"5.754 [5.460,6.048]",0.000e+00,***,Cholesterol in Medium HDL
XS-VLDL-PL,"5.714 [5.440,5.988]",0.000e+00,***,Phospholipids in Very Small VLDL
