Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC,"13.984 [8.072,19.897]",0.819,,Free Cholesterol in Very Large HDL
M-LDL-FC%,"5.588 [1.025,10.151]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,"4.742 [-0.735,10.218]",1.000,,Cholesteryl Esters in HDL
Total-C,"4.680 [-0.052,9.413]",1.000,,Total-Cholesterol
VLDL-C,"2.675 [-2.080,7.430]",1.000,,VLDL Cholesterol
Total-BCAA,"-1.142 [-6.018,3.733]",1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,"-1.315 [-5.982,3.353]",1.000,,Isoleucine
M-LDL-PL%,"-1.517 [-6.201,3.168]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Leu,"-2.631 [-7.363,2.102]",1.000,,Leucine
L-HDL-PL%,"-11.179 [-15.831,-6.527]",0.571,,Phospholipids to Total-Lipids in Large HDL percentage
