Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"15.768 [0.875,30.661]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Ile,"10.876 [-4.351,26.104]",1.000,,Isoleucine
His,"9.410 [-5.350,24.170]",1.000,,Histidine
Phe,"8.392 [-7.099,23.883]",1.000,,Phenylalanine
Leu,"5.762 [-9.681,21.206]",1.000,,Leucine
HDL-CE,"-2.844 [-20.719,15.031]",1.000,,Cholesteryl Esters in HDL
Total-CE,"-21.553 [-37.039,-6.066]",1.000,,Total-Esterified Cholesterol
LDL-CE,"-23.743 [-38.916,-8.570]",1.000,,Cholesteryl Esters in LDL
VLDL-C,"-24.482 [-39.985,-8.979]",1.000,,VLDL Cholesterol
S-HDL-L,"-37.175 [-52.746,-21.604]",0.663,,Total-Lipids in Small HDL
