Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-3%,"0.082 [0.075,0.088]",5.346e-114,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Gln,"0.074 [0.067,0.081]",1.678e-94,***,Glutamine
IDL-PL%,"0.072 [0.066,0.079]",2.549e-91,***,Phospholipids to Total-Lipids in IDL percentage
Unsaturation,"0.071 [0.065,0.078]",8.031e-86,***,Degree of Unsaturation
DHA%,"0.070 [0.064,0.077]",1.905e-88,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA%,"0.061 [0.054,0.068]",1.096e-68,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Lactate,"0.060 [0.053,0.067]",2.555e-58,***,Lactate
XS-VLDL-PL%,"0.056 [0.049,0.063]",5.208e-53,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,"0.054 [0.047,0.061]",8.229e-46,***,Phospholipids to Total-Lipids in Small LDL percentage
Citrate,"0.052 [0.045,0.059]",4.658e-41,***,Citrate
Gly,"0.050 [0.040,0.060]",3.008e-19,***,Glycine
XXL-VLDL-PL%,"0.045 [0.037,0.053]",1.565e-22,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,"0.040 [0.033,0.047]",2.484e-23,***,Omega-3 Fatty Acids
DHA,"0.040 [0.033,0.047]",7.680e-23,***,Docosahexaenoic Acid
PUFA/MUFA,"0.040 [0.033,0.047]",8.263e-25,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-TG%,"0.040 [0.033,0.046]",2.725e-25,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,"0.039 [0.032,0.045]",4.314e-24,***,Triglycerides to Total-Lipids in IDL percentage
XL-HDL-PL%,"0.038 [0.032,0.045]",5.690e-27,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-LDL-PL%,"0.036 [0.029,0.043]",2.468e-19,***,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-PL,"0.035 [0.026,0.044]",3.355e-08,***,Phospholipids in Very Large HDL
S-VLDL-TG%,"0.035 [0.028,0.042]",9.217e-17,***,Triglycerides to Total-Lipids in Small VLDL percentage
XXL-VLDL-FC%,"0.035 [0.027,0.042]",1.045e-14,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-TG%,"0.034 [0.028,0.041]",1.504e-18,***,Triglycerides to Total-Lipids in Large LDL percentage
Omega-6%,"0.032 [0.026,0.039]",7.677e-17,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,"0.031 [0.025,0.038]",1.011e-13,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Val,"0.029 [0.022,0.036]",7.869e-10,***,Valine
Total-BCAA,"0.027 [0.020,0.035]",1.592e-08,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-HDL-L,"0.027 [0.018,0.036]",0.003,**,Total-Lipids in Very Large HDL
Tyr,"0.025 [0.018,0.033]",1.370e-06,***,Tyrosine
HDL-size,"0.025 [0.017,0.034]",0.003,**,Average Diameter for HDL Particles
M-VLDL-TG%,"0.025 [0.018,0.032]",4.464e-06,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Creatinine,"0.024 [0.017,0.032]",2.405e-05,***,Creatinine
Leu,"0.024 [0.017,0.031]",6.254e-06,***,Leucine
Ile,"0.023 [0.016,0.030]",1.323e-05,***,Isoleucine
XL-VLDL-FC%,"0.021 [0.014,0.029]",0.014,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Phe,"0.021 [0.014,0.028]",0.001,**,Phenylalanine
XXL-VLDL-C%,"0.020 [0.013,0.028]",0.008,**,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
His,"0.020 [0.013,0.027]",0.001,**,Histidine
S-LDL-TG%,"0.019 [0.012,0.026]",0.006,**,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-FC%,"-0.020 [-0.028,-0.013]",0.022,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-VLDL-CE%,"-0.021 [-0.027,-0.014]",9.775e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XXL-VLDL-TG%,"-0.023 [-0.030,-0.016]",1.855e-04,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-FC%,"-0.023 [-0.030,-0.017]",4.113e-06,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-TG,"-0.024 [-0.031,-0.017]",2.207e-06,***,Triglycerides in Very Small VLDL
M-VLDL-C%,"-0.024 [-0.031,-0.018]",3.506e-07,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-TG,"-0.025 [-0.032,-0.018]",4.649e-07,***,Triglycerides in Small VLDL
XXL-VLDL-PL,"-0.025 [-0.032,-0.018]",5.821e-08,***,Phospholipids in Chylomicrons and Extremely Large VLDL
IDL-FC%,"-0.025 [-0.032,-0.019]",2.605e-09,***,Free Cholesterol to Total-Lipids in IDL percentage
ApoB/ApoA1,"-0.026 [-0.033,-0.019]",5.048e-08,***,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-size,"-0.026 [-0.033,-0.018]",9.971e-07,***,Average Diameter for VLDL Particles
S-LDL-TG,"-0.027 [-0.033,-0.020]",2.033e-10,***,Triglycerides in Small LDL
XXL-VLDL-FC,"-0.027 [-0.034,-0.021]",4.420e-10,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-CE%,"-0.028 [-0.035,-0.021]",1.763e-10,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XXL-VLDL-P,"-0.028 [-0.035,-0.022]",1.801e-11,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-HDL-CE%,"-0.029 [-0.035,-0.023]",1.839e-15,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-C%,"-0.029 [-0.036,-0.023]",1.296e-12,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-TG%,"-0.029 [-0.036,-0.022]",5.175e-11,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-C,"-0.030 [-0.037,-0.023]",1.481e-12,***,Cholesterol in Chylomicrons and Extremely Large VLDL
IDL-TG,"-0.030 [-0.037,-0.023]",1.945e-12,***,Triglycerides in IDL
HDL-TG,"-0.031 [-0.038,-0.024]",5.630e-13,***,Triglycerides in HDL
XXL-VLDL-L,"-0.031 [-0.038,-0.024]",2.889e-14,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,"-0.031 [-0.038,-0.025]",3.289e-14,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-LDL-TG,"-0.032 [-0.039,-0.025]",5.045e-16,***,Triglycerides in Medium LDL
XXL-VLDL-TG,"-0.032 [-0.039,-0.026]",5.557e-16,***,Triglycerides in Chylomicrons and Extremely Large VLDL
M-VLDL-FC%,"-0.033 [-0.040,-0.026]",3.608e-16,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Glu,"-0.033 [-0.040,-0.027]",3.551e-17,***,Glucose
XL-HDL-C%,"-0.034 [-0.040,-0.027]",1.543e-19,***,Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-C%,"-0.034 [-0.041,-0.027]",1.667e-17,***,Cholesterol to Total-Lipids in Small VLDL percentage
PUFA,"-0.034 [-0.041,-0.028]",8.083e-18,***,Polyunsaturated Fatty Acids
LDL-TG,"-0.034 [-0.041,-0.028]",8.906e-19,***,Triglycerides in LDL
M-VLDL-PL%,"-0.035 [-0.042,-0.028]",5.069e-18,***,Phospholipids to Total-Lipids in Medium VLDL percentage
