Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC,"0.510 [0.464,0.556]",1.087e-99,***,Free Cholesterol in Very Large HDL
XL-HDL-PL,"0.508 [0.459,0.557]",1.707e-87,***,Phospholipids in Very Large HDL
XL-HDL-L,"0.467 [0.418,0.515]",2.577e-74,***,Total-Lipids in Very Large HDL
Gly,"0.461 [0.411,0.511]",2.509e-68,***,Glycine
XL-HDL-C,"0.425 [0.377,0.474]",5.125e-60,***,Cholesterol in Very Large HDL
XL-HDL-P,"0.395 [0.346,0.444]",2.118e-50,***,Concentration of Very Large HDL Particles
XL-HDL-CE,"0.385 [0.336,0.434]",2.378e-47,***,Cholesteryl Esters in Very Large HDL
HDL-size,"0.379 [0.333,0.424]",1.315e-54,***,Average Diameter for HDL Particles
Creatinine,"0.370 [0.331,0.408]",8.048e-73,***,Creatinine
Acetate,"0.364 [0.329,0.398]",7.670e-88,***,Acetate
XL-HDL-PL%,"0.357 [0.324,0.391]",3.999e-93,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Gln,"0.316 [0.280,0.352]",1.579e-62,***,Glutamine
S-LDL-PL%,"0.311 [0.274,0.348]",1.549e-55,***,Phospholipids to Total-Lipids in Small LDL percentage
PUFA/MUFA,"0.289 [0.253,0.325]",8.717e-51,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-FC,"0.248 [0.199,0.297]",5.470e-18,***,Free Cholesterol in Large HDL
L-HDL-C,"0.232 [0.184,0.279]",2.428e-16,***,Cholesterol in Large HDL
Leu,"0.229 [0.193,0.266]",4.448e-29,***,Leucine
L-HDL-CE,"0.229 [0.181,0.277]",1.229e-15,***,Cholesteryl Esters in Large HDL
XS-VLDL-CE%,"0.219 [0.184,0.254]",2.821e-29,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-P,"0.210 [0.161,0.259]",2.041e-11,***,Concentration of Large HDL Particles
L-HDL-FC%,"0.202 [0.170,0.234]",2.364e-29,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Total-BCAA,"0.201 [0.164,0.238]",1.526e-20,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-VLDL-FC%,"0.200 [0.160,0.241]",4.823e-17,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-C%,"0.198 [0.163,0.233]",1.339e-23,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
