Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL,"0.386 [0.350,0.422]",6.130e-93,***,Phospholipids in Very Large HDL
XL-HDL-FC,"0.385 [0.351,0.419]",1.649e-104,***,Free Cholesterol in Very Large HDL
XL-HDL-L,"0.355 [0.319,0.390]",5.564e-79,***,Total-Lipids in Very Large HDL
Gly,"0.344 [0.308,0.381]",5.878e-70,***,Glycine
XL-HDL-C,"0.324 [0.288,0.360]",7.047e-64,***,Cholesterol in Very Large HDL
XL-HDL-P,"0.300 [0.264,0.336]",1.966e-53,***,Concentration of Very Large HDL Particles
XL-HDL-CE,"0.294 [0.257,0.330]",9.690e-51,***,Cholesteryl Esters in Very Large HDL
HDL-size,"0.289 [0.255,0.322]",1.937e-58,***,Average Diameter for HDL Particles
XL-HDL-PL%,"0.272 [0.248,0.297]",3.732e-99,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Creatinine,"0.271 [0.242,0.299]",1.590e-71,***,Creatinine
Acetate,"0.262 [0.237,0.288]",9.593e-84,***,Acetate
S-LDL-PL%,"0.238 [0.211,0.266]",3.164e-60,***,Phospholipids to Total-Lipids in Small LDL percentage
Gln,"0.231 [0.205,0.257]",4.248e-61,***,Glutamine
PUFA/MUFA,"0.221 [0.195,0.248]",1.282e-54,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-FC,"0.192 [0.156,0.228]",5.083e-20,***,Free Cholesterol in Large HDL
L-HDL-C,"0.179 [0.144,0.214]",3.380e-18,***,Cholesterol in Large HDL
L-HDL-CE,"0.177 [0.142,0.212]",1.954e-17,***,Cholesteryl Esters in Large HDL
Leu,"0.167 [0.140,0.194]",3.675e-28,***,Leucine
L-HDL-P,"0.163 [0.126,0.199]",6.517e-13,***,Concentration of Large HDL Particles
XS-VLDL-CE%,"0.162 [0.136,0.188]",1.765e-29,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-FC%,"0.154 [0.130,0.178]",2.158e-31,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-FC%,"0.150 [0.120,0.180]",1.313e-17,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-C%,"0.146 [0.121,0.172]",1.205e-23,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-BCAA,"0.145 [0.117,0.173]",1.809e-19,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-FC%,"0.145 [0.118,0.171]",1.440e-21,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-L,"0.144 [0.111,0.178]",1.381e-11,***,Total-Lipids in Large HDL
PUFA%,"0.143 [0.117,0.168]",9.513e-23,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,"0.142 [0.116,0.169]",9.149e-21,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,"0.141 [0.116,0.167]",2.690e-22,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Ile,"0.124 [0.097,0.150]",1.907e-14,***,Isoleucine
Val,"0.122 [0.094,0.150]",1.840e-12,***,Valine
L-HDL-PL,"0.113 [0.079,0.147]",1.584e-05,***,Phospholipids in Large HDL
L-HDL-C%,"0.110 [0.085,0.135]",2.263e-12,***,Cholesterol to Total-Lipids in Large HDL percentage
His,"0.109 [0.083,0.135]",4.045e-11,***,Histidine
S-HDL-PL%,"0.106 [0.079,0.133]",3.046e-09,***,Phospholipids to Total-Lipids in Small HDL percentage
Citrate,"0.106 [0.078,0.133]",1.036e-08,***,Citrate
