Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,"0.207 [0.206,0.208]",0.000e+00,***,Cholesteryl Esters in HDL
HDL-C,"0.206 [0.205,0.207]",0.000e+00,***,HDL Cholesterol
L-HDL-P,"0.203 [0.202,0.204]",0.000e+00,***,Concentration of Large HDL Particles
HDL-FC,"0.200 [0.199,0.201]",0.000e+00,***,Free Cholesterol in HDL
M-HDL-FC,"0.197 [0.196,0.198]",0.000e+00,***,Free Cholesterol in Medium HDL
M-HDL-P,"0.197 [0.196,0.197]",0.000e+00,***,Concentration of Medium HDL Particles
M-HDL-C,"0.195 [0.194,0.196]",0.000e+00,***,Cholesterol in Medium HDL
M-HDL-CE,"0.195 [0.194,0.196]",0.000e+00,***,Cholesteryl Esters in Medium HDL
HDL-L,"0.192 [0.191,0.193]",0.000e+00,***,Total-Lipids in HDL
L-HDL-PL,"0.191 [0.190,0.193]",0.000e+00,***,Phospholipids in Large HDL
ApoA1,"0.191 [0.190,0.192]",0.000e+00,***,Apolipoprotein A1
L-HDL-CE,"0.189 [0.187,0.190]",0.000e+00,***,Cholesteryl Esters in Large HDL
L-HDL-L,"0.187 [0.186,0.189]",0.000e+00,***,Total-Lipids in Large HDL
L-HDL-C,"0.186 [0.185,0.188]",0.000e+00,***,Cholesterol in Large HDL
HDL-PL,"0.185 [0.184,0.186]",0.000e+00,***,Phospholipids in HDL
L-HDL-FC,"0.182 [0.181,0.184]",0.000e+00,***,Free Cholesterol in Large HDL
HDL-P,"0.181 [0.180,0.182]",0.000e+00,***,Concentration of HDL Particles
M-HDL-L,"0.179 [0.178,0.180]",0.000e+00,***,Total-Lipids in Medium HDL
M-HDL-PL,"0.170 [0.169,0.171]",0.000e+00,***,Phospholipids in Medium HDL
Total-P,"0.170 [0.169,0.171]",0.000e+00,***,Total-Concentration of Lipoprotein Particles
HDL-size,"0.152 [0.150,0.153]",0.000e+00,***,Average Diameter for HDL Particles
M-HDL-FC%,"0.149 [0.148,0.150]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
PC,"0.132 [0.131,0.133]",0.000e+00,***,Phosphatidylcholines
S-HDL-PL,"0.127 [0.126,0.128]",0.000e+00,***,Phospholipids in Small HDL
S-HDL-C,"0.125 [0.124,0.126]",0.000e+00,***,Cholesterol in Small HDL
S-HDL-CE,"0.123 [0.121,0.124]",0.000e+00,***,Cholesteryl Esters in Small HDL
Cholines,"0.122 [0.121,0.124]",0.000e+00,***,Total-Cholines
S-HDL-L,"0.121 [0.120,0.123]",0.000e+00,***,Total-Lipids in Small HDL
S-HDL-FC,"0.120 [0.119,0.121]",0.000e+00,***,Free Cholesterol in Small HDL
Phosphoglyc,"0.120 [0.118,0.121]",0.000e+00,***,Phosphoglycerides
S-HDL-P,"0.120 [0.118,0.121]",0.000e+00,***,Concentration of Small HDL Particles
XL-HDL-CE,"0.118 [0.116,0.120]",0.000e+00,***,Cholesteryl Esters in Very Large HDL
XL-HDL-P,"0.106 [0.104,0.108]",0.000e+00,***,Concentration of Very Large HDL Particles
Total-PL,"0.100 [0.099,0.101]",0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
XL-HDL-C,"0.097 [0.096,0.099]",0.000e+00,***,Cholesterol in Very Large HDL
M-HDL-C%,"0.097 [0.096,0.098]",0.000e+00,***,Cholesterol to Total-Lipids in Medium HDL percentage
SM,"0.096 [0.095,0.098]",0.000e+00,***,Sphingomyelins
XL-HDL-PL,"0.095 [0.093,0.097]",0.000e+00,***,Phospholipids in Very Large HDL
XL-HDL-L,"0.095 [0.093,0.097]",0.000e+00,***,Total-Lipids in Very Large HDL
Total-CE,"0.079 [0.077,0.080]",0.000e+00,***,Total-Esterified Cholesterol
IDL-CE%,"0.075 [0.074,0.076]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Total-C,"0.072 [0.070,0.073]",0.000e+00,***,Total-Cholesterol
M-HDL-CE%,"0.070 [0.069,0.071]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-TG,"0.070 [0.068,0.071]",0.000e+00,***,Triglycerides in Large HDL
IDL-C%,"0.066 [0.065,0.067]",0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
S-LDL-C%,"0.065 [0.064,0.066]",0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-CE,"0.063 [0.062,0.064]",0.000e+00,***,Cholesteryl Esters in IDL
Omega-6,"0.061 [0.060,0.062]",0.000e+00,***,Omega-6 Fatty Acids
PUFA,"0.061 [0.060,0.062]",0.000e+00,***,Polyunsaturated Fatty Acids
