Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Pyruvate,0.0620,0.0895,Pyruvate
Lactate,0.1092,0.0724,Lactate
IDL-PL%,0.0840,0.0678,Phospholipids to Total-Lipids in IDL percentage
3-Hydroxybutyrate,0.0392,0.0559,3-Hydroxybutyrate
Albumin,0.0740,0.0513,Albumin
Acetone,0.0545,0.0497,Acetone
Total-P,0.0425,0.0402,Total-Concentration of Lipoprotein Particles
XS-VLDL-PL%,0.0303,0.0331,Phospholipids to Total-Lipids in Very Small VLDL percentage
Ala,0.0230,0.0321,Alanine
Acetate,0.0252,0.0291,Acetate
Gln,0.0210,0.0263,Glutamine
Glu,0.0105,0.0262,Glucose
Creatinine,0.0305,0.0243,Creatinine
Phe,0.0295,0.0240,Phenylalanine
Omega-3%,0.0248,0.0237,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.0242,0.0215,Docosahexaenoic Acid to Total-Fatty Acids percentage
Acetoacetate,0.0165,0.0206,Acetoacetate
His,0.0147,0.0187,Histidine
Glu-lactate,0.0308,0.0170,Glucose-lactate
Sc-ala,0.0190,0.0167,Spectrometer-corrected alanine
LA%,0.0142,0.0150,Linoleic Acid to Total-Fatty Acids percentage
LDL-TG,0.0140,0.0147,Triglycerides in LDL
SFA%,0.0088,0.0138,Saturated Fatty Acids to Total-Fatty Acids percentage
Gly,0.0065,0.0117,Glycine
LA,0.0127,0.0096,Linoleic Acid
Omega-6/Omega-3,0.0093,0.0095,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Citrate,0.0062,0.0080,Citrate
Tyr,0.0053,0.0078,Tyrosine
LDL-size,0.0043,0.0075,Average Diameter for LDL Particles
M-HDL-FC%,0.0082,0.0071,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-CE,0.0078,0.0067,Cholesteryl Esters in Small HDL
XS-VLDL-TG,0.0047,0.0064,Triglycerides in Very Small VLDL
PUFA%,0.0085,0.0062,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,0.0067,0.0061,Phospholipids to Total-Lipids in Large HDL percentage
XXL-VLDL-C%,0.0028,0.0059,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,0.0048,0.0058,Omega-3 Fatty Acids
IDL-PL,0.0050,0.0056,Phospholipids in IDL
S-HDL-PL,0.0070,0.0053,Phospholipids in Small HDL
M-LDL-PL%,0.0037,0.0051,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-P,0.0052,0.0050,Concentration of Medium LDL Particles
L-LDL-CE%,0.0053,0.0046,Cholesteryl Esters to Total-Lipids in Large LDL percentage
PC,0.0048,0.0046,Phosphatidylcholines
HDL-P,0.0055,0.0045,Concentration of HDL Particles
S-HDL-TG,0.0028,0.0044,Triglycerides in Small HDL
L-VLDL-PL%,0.0013,0.0043,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-CE%,0.0015,0.0039,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-P,0.0037,0.0037,Concentration of VLDL Particles
XXL-VLDL-TG%,0.0033,0.0032,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-BCAA,0.0025,0.0031,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-FC%,0.0022,0.0030,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
GlycA,0.0022,0.0030,Glycoprotein Acetyls
XXL-VLDL-CE,0.0020,0.0030,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-LDL-CE%,0.0032,0.0029,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,0.0037,0.0028,Phospholipids to Total-Lipids in Medium VLDL percentage
XXL-VLDL-PL%,0.0030,0.0027,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-C%,0.0035,0.0027,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-L,0.0020,0.0027,Total-Lipids in Very Large HDL
M-HDL-C%,0.0052,0.0026,Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-FC%,0.0005,0.0026,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-CE,0.0010,0.0025,Cholesteryl Esters in Very Large HDL
IDL-CE%,0.0023,0.0025,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-TG,0.0013,0.0023,Triglycerides in Medium VLDL
Val,0.0012,0.0022,Valine
M-LDL-TG%,0.0013,0.0021,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-CE%,0.0015,0.0020,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
PUFA/MUFA,0.0020,0.0019,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-TG,0.0038,0.0019,Triglycerides in Large HDL
L-HDL-TG%,0.0020,0.0014,Triglycerides to Total-Lipids in Large HDL percentage
XL-VLDL-C%,0.0003,0.0014,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE,0.0015,0.0013,Cholesteryl Esters in Medium VLDL
M-VLDL-FC%,0.0015,0.0013,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-PL%,0.0013,0.0012,Phospholipids to Total-Lipids in Large LDL percentage
IDL-FC%,0.0008,0.0012,Free Cholesterol to Total-Lipids in IDL percentage
VLDL-size,0.0013,0.0011,Average Diameter for VLDL Particles
Ile,0.0022,0.0011,Isoleucine
Leu,0.0002,0.0011,Leucine
L-HDL-CE,0.0013,0.0011,Cholesteryl Esters in Large HDL
S-VLDL-C%,0.0005,0.0009,Cholesterol to Total-Lipids in Small VLDL percentage
MUFA%,0.0012,0.0007,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,0.0005,0.0006,Free Cholesterol to Total-Lipids in Very Large HDL percentage
DHA,0.0008,0.0005,Docosahexaenoic Acid
S-LDL-TG%,0.0005,0.0005,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.0003,0.0001,Free Cholesterol to Total-Lipids in Medium LDL percentage
