Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
His,0.1035,0.0929,Histidine
L-LDL-C%,0.0945,0.0594,Cholesterol to Total-Lipids in Large LDL percentage
Tyr,0.0545,0.0483,Tyrosine
Creatinine,0.0278,0.0476,Creatinine
Acetone,0.0617,0.0407,Acetone
Albumin,0.0320,0.0407,Albumin
Pyruvate,0.0278,0.0390,Pyruvate
Gly,0.0495,0.0341,Glycine
Glu,0.0218,0.0279,Glucose
Lactate,0.0397,0.0267,Lactate
Gln,0.0288,0.0259,Glutamine
Ile,0.0210,0.0228,Isoleucine
Val,0.0183,0.0219,Valine
XL-HDL-TG%,0.0145,0.0205,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-FC%,0.0175,0.0181,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetate,0.0127,0.0168,Acetate
S-HDL-CE,0.0170,0.0168,Cholesteryl Esters in Small HDL
Sc-ala,0.0227,0.0165,Spectrometer-corrected alanine
GlycA,0.0205,0.0165,Glycoprotein Acetyls
IDL-FC%,0.0070,0.0163,Free Cholesterol to Total-Lipids in IDL percentage
Acetoacetate,0.0150,0.0156,Acetoacetate
Ala,0.0105,0.0156,Alanine
XS-VLDL-FC%,0.0098,0.0154,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,0.0165,0.0141,Triglycerides to Total-Lipids in Large LDL percentage
IDL-PL%,0.0122,0.0134,Phospholipids to Total-Lipids in IDL percentage
Leu,0.0153,0.0129,Leucine
Citrate,0.0085,0.0127,Citrate
Glu-lactate,0.0065,0.0125,Glucose-lactate
S-VLDL-FC%,0.0202,0.0125,Free Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6/Omega-3,0.0048,0.0124,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
DHA%,0.0183,0.0117,Docosahexaenoic Acid to Total-Fatty Acids percentage
Phe,0.0198,0.0117,Phenylalanine
L-LDL-PL%,0.0093,0.0113,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-FC%,0.0143,0.0103,Free Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-L,0.0062,0.0098,Total-Lipids in Small HDL
XXL-VLDL-C%,0.0060,0.0084,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-L,0.0030,0.0083,Total-Lipids in Very Large HDL
XL-HDL-C%,0.0040,0.0081,Cholesterol to Total-Lipids in Very Large HDL percentage
Total-BCAA,0.0063,0.0071,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-VLDL-FC%,0.0057,0.0068,Free Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-CE%,0.0017,0.0067,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,0.0053,0.0066,Phospholipids to Total-Lipids in Large HDL percentage
L-VLDL-PL%,0.0053,0.0059,Phospholipids to Total-Lipids in Large VLDL percentage
DHA,0.0020,0.0059,Docosahexaenoic Acid
LA%,0.0060,0.0057,Linoleic Acid to Total-Fatty Acids percentage
IDL-CE%,0.0018,0.0056,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-TG%,0.0012,0.0055,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,0.0040,0.0054,Phospholipids to Total-Lipids in Very Small VLDL percentage
SFA%,0.0055,0.0054,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.0042,0.0053,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-FC,0.0062,0.0050,Free Cholesterol in Very Large HDL
S-LDL-C%,0.0018,0.0048,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.0065,0.0048,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-TG,0.0072,0.0047,Triglycerides in IDL
L-LDL-CE%,0.0057,0.0042,Cholesteryl Esters to Total-Lipids in Large LDL percentage
MUFA%,0.0043,0.0041,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-C%,0.0020,0.0037,Cholesterol to Total-Lipids in Large VLDL percentage
3-Hydroxybutyrate,0.0018,0.0034,3-Hydroxybutyrate
SM,0.0017,0.0034,Sphingomyelins
S-HDL-PL%,0.0040,0.0033,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-TG%,0.0027,0.0032,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-TG%,0.0012,0.0023,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-TG%,0.0042,0.0022,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-FC%,0.0025,0.0022,Free Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-PL%,0.0005,0.0020,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,0.0007,0.0019,Omega-3 Fatty Acids
Omega-6,0.0008,0.0017,Omega-6 Fatty Acids
L-HDL-CE%,0.0005,0.0010,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-VLDL-CE,0.0010,0.0009,Cholesteryl Esters in Large VLDL
Unsaturation,0.0012,0.0009,Degree of Unsaturation
M-LDL-FC%,0.0003,0.0008,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-PL%,0.0005,0.0007,Phospholipids to Total-Lipids in Small LDL percentage
L-VLDL-CE%,0.0002,0.0005,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
LDL-size,0.0005,0.0005,Average Diameter for LDL Particles
