Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
PUFA/MUFA,0.1106,0.0765,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,0.1116,0.0724,Degree of Unsaturation
Acetate,0.0550,0.0534,Acetate
His,0.1209,0.0467,Histidine
GlycA,0.0430,0.0463,Glycoprotein Acetyls
Pyruvate,0.0752,0.0428,Pyruvate
Acetone,0.0274,0.0409,Acetone
Creatinine,0.0289,0.0384,Creatinine
IDL-FC%,0.0167,0.0263,Free Cholesterol to Total-Lipids in IDL percentage
Ala,0.0100,0.0261,Alanine
LA%,0.0142,0.0260,Linoleic Acid to Total-Fatty Acids percentage
Lactate,0.0142,0.0254,Lactate
M-LDL-C%,0.0193,0.0236,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL%,0.0103,0.0216,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Citrate,0.0300,0.0212,Citrate
SFA%,0.0092,0.0208,Saturated Fatty Acids to Total-Fatty Acids percentage
Ile,0.0135,0.0207,Isoleucine
Acetoacetate,0.0085,0.0203,Acetoacetate
Gln,0.0093,0.0176,Glutamine
Gly,0.0070,0.0167,Glycine
Glu,0.0162,0.0161,Glucose
DHA%,0.0132,0.0155,Docosahexaenoic Acid to Total-Fatty Acids percentage
Sc-ala,0.0159,0.0155,Spectrometer-corrected alanine
Albumin,0.0134,0.0148,Albumin
IDL-PL%,0.0198,0.0131,Phospholipids to Total-Lipids in IDL percentage
LDL-size,0.0093,0.0122,Average Diameter for LDL Particles
Total-BCAA,0.0045,0.0119,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-HDL-FC,0.0075,0.0117,Free Cholesterol in Very Large HDL
M-LDL-FC,0.0073,0.0111,Free Cholesterol in Medium LDL
S-LDL-C%,0.0130,0.0110,Cholesterol to Total-Lipids in Small LDL percentage
IDL-CE%,0.0060,0.0090,Cholesteryl Esters to Total-Lipids in IDL percentage
Val,0.0084,0.0085,Valine
XS-VLDL-C,0.0057,0.0080,Cholesterol in Very Small VLDL
XXL-VLDL-FC%,0.0025,0.0074,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
3-Hydroxybutyrate,0.0037,0.0073,3-Hydroxybutyrate
M-LDL-CE%,0.0078,0.0071,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Phe,0.0020,0.0069,Phenylalanine
M-LDL-PL%,0.0158,0.0066,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-C%,0.0037,0.0061,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-C%,0.0055,0.0061,Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-CE%,0.0047,0.0059,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-TG%,0.0022,0.0059,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-FC%,0.0008,0.0056,Free Cholesterol to Total-Lipids in Small HDL percentage
PUFA%,0.0058,0.0054,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,0.0033,0.0054,Triglycerides to Total-Lipids in Medium LDL percentage
XL-HDL-TG%,0.0022,0.0050,Triglycerides to Total-Lipids in Very Large HDL percentage
L-LDL-PL%,0.0030,0.0050,Phospholipids to Total-Lipids in Large LDL percentage
XL-VLDL-FC%,0.0117,0.0050,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,0.0023,0.0050,Phospholipids to Total-Lipids in Large HDL percentage
Tyr,0.0032,0.0048,Tyrosine
S-HDL-FC,0.0027,0.0042,Free Cholesterol in Small HDL
Omega-6,0.0035,0.0038,Omega-6 Fatty Acids
XS-VLDL-PL%,0.0033,0.0036,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-FC%,0.0040,0.0036,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-PL%,0.0017,0.0035,Phospholipids to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,0.0025,0.0032,Cholesterol to Total-Lipids in Very Small VLDL percentage
Glu-lactate,0.0008,0.0032,Glucose-lactate
L-HDL-P,0.0033,0.0032,Concentration of Large HDL Particles
XXL-VLDL-CE%,0.0030,0.0031,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phosphoglyc,0.0007,0.0029,Phosphoglycerides
Omega-6/Omega-3,0.0025,0.0028,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-VLDL-L,0.0028,0.0027,Total-Lipids in Medium VLDL
S-HDL-C,0.0012,0.0027,Cholesterol in Small HDL
Omega-3%,0.0018,0.0025,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-CE,0.0025,0.0019,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-HDL-TG,0.0005,0.0019,Triglycerides in Medium HDL
Omega-3,0.0005,0.0017,Omega-3 Fatty Acids
S-HDL-CE,0.0012,0.0014,Cholesteryl Esters in Small HDL
Leu,0.0012,0.0013,Leucine
L-LDL-FC%,0.0010,0.0012,Free Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-TG%,0.0020,0.0010,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-C%,0.0015,0.0009,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-CE%,0.0005,0.0006,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-C,0.0002,0.0002,VLDL Cholesterol
