Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LDL-size,0.0905,0.0655,Average Diameter for LDL Particles
Pyruvate,0.1093,0.0552,Pyruvate
Val,0.0350,0.0439,Valine
His,0.0245,0.0419,Histidine
Acetate,0.0207,0.0359,Acetate
Tyr,0.0330,0.0347,Tyrosine
XXL-VLDL-PL%,0.0303,0.0333,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Creatinine,0.0332,0.0313,Creatinine
Phe,0.0547,0.0306,Phenylalanine
Gly,0.0365,0.0301,Glycine
GlycA,0.0213,0.0285,Glycoprotein Acetyls
IDL-FC%,0.0337,0.0281,Free Cholesterol to Total-Lipids in IDL percentage
LA%,0.0127,0.0263,Linoleic Acid to Total-Fatty Acids percentage
Albumin,0.0118,0.0258,Albumin
XS-VLDL-FC%,0.0277,0.0254,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,0.0093,0.0237,Phospholipids to Total-Lipids in Large HDL percentage
Acetoacetate,0.0215,0.0230,Acetoacetate
Leu,0.0177,0.0218,Leucine
XXL-VLDL-TG%,0.0210,0.0195,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Citrate,0.0105,0.0191,Citrate
S-LDL-CE%,0.0152,0.0165,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Glu,0.0127,0.0152,Glucose
Lactate,0.0045,0.0147,Lactate
Ala,0.0143,0.0146,Alanine
Acetone,0.0088,0.0137,Acetone
L-LDL-C%,0.0227,0.0128,Cholesterol to Total-Lipids in Large LDL percentage
Total-BCAA,0.0140,0.0118,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Sc-ala,0.0110,0.0111,Spectrometer-corrected alanine
L-LDL-CE%,0.0088,0.0105,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Omega-6%,0.0148,0.0103,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG,0.0080,0.0103,Triglycerides in Medium LDL
Ile,0.0092,0.0102,Isoleucine
3-Hydroxybutyrate,0.0070,0.0102,3-Hydroxybutyrate
S-HDL-CE,0.0092,0.0089,Cholesteryl Esters in Small HDL
SFA%,0.0020,0.0082,Saturated Fatty Acids to Total-Fatty Acids percentage
Gln,0.0043,0.0075,Glutamine
