Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1772,0.2280,Creatinine
GlycA,0.0518,0.0655,Glycoprotein Acetyls
Albumin,0.0640,0.0503,Albumin
Glu-lactate,0.0360,0.0471,Glucose-lactate
Sc-ala,0.0370,0.0458,Spectrometer-corrected alanine
Tyr,0.0407,0.0444,Tyrosine
Gly,0.0615,0.0433,Glycine
Citrate,0.0343,0.0383,Citrate
Pyruvate,0.0540,0.0363,Pyruvate
Lactate,0.0405,0.0349,Lactate
VLDL-size,0.0232,0.0294,Average Diameter for VLDL Particles
XL-HDL-CE%,0.0297,0.0190,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
3-Hydroxybutyrate,0.0312,0.0183,3-Hydroxybutyrate
XXL-VLDL-PL%,0.0170,0.0176,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetate,0.0117,0.0164,Acetate
Leu,0.0093,0.0157,Leucine
Acetone,0.0133,0.0140,Acetone
Ile,0.0282,0.0137,Isoleucine
Glu,0.0128,0.0123,Glucose
Acetoacetate,0.0083,0.0117,Acetoacetate
His,0.0102,0.0115,Histidine
LDL-size,0.0178,0.0102,Average Diameter for LDL Particles
Gln,0.0098,0.0101,Glutamine
S-LDL-CE%,0.0100,0.0094,Cholesteryl Esters to Total-Lipids in Small LDL percentage
DHA,0.0145,0.0085,Docosahexaenoic Acid
LA%,0.0082,0.0085,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-FC%,0.0080,0.0083,Free Cholesterol to Total-Lipids in Large HDL percentage
Phe,0.0177,0.0082,Phenylalanine
S-HDL-CE,0.0078,0.0069,Cholesteryl Esters in Small HDL
L-LDL-PL%,0.0078,0.0068,Phospholipids to Total-Lipids in Large LDL percentage
XXL-VLDL-FC%,0.0027,0.0067,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Unsaturation,0.0063,0.0061,Degree of Unsaturation
PUFA%,0.0055,0.0050,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-C%,0.0048,0.0047,Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-CE,0.0063,0.0046,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C%,0.0048,0.0044,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ala,0.0027,0.0044,Alanine
IDL-FC%,0.0035,0.0042,Free Cholesterol to Total-Lipids in IDL percentage
DHA%,0.0023,0.0041,Docosahexaenoic Acid to Total-Fatty Acids percentage
SFA%,0.0057,0.0041,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG%,0.0052,0.0040,Triglycerides to Total-Lipids in Small HDL percentage
Omega-6%,0.0028,0.0037,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-HDL-FC%,0.0018,0.0037,Free Cholesterol to Total-Lipids in Small HDL percentage
IDL-PL%,0.0038,0.0037,Phospholipids to Total-Lipids in IDL percentage
MUFA%,0.0023,0.0033,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Val,0.0038,0.0033,Valine
IDL-TG,0.0030,0.0033,Triglycerides in IDL
M-VLDL-CE%,0.0040,0.0032,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-VLDL-TG%,0.0042,0.0031,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-P,0.0035,0.0027,Concentration of Small HDL Particles
M-HDL-FC%,0.0035,0.0026,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-FC%,0.0025,0.0025,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-CE%,0.0017,0.0023,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-PL%,0.0023,0.0023,Phospholipids to Total-Lipids in Medium LDL percentage
Total-BCAA,0.0035,0.0022,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-C%,0.0012,0.0018,Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3%,0.0012,0.0016,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,0.0010,0.0015,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,0.0012,0.0015,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC,0.0010,0.0014,Free Cholesterol in Small VLDL
PUFA/MUFA,0.0018,0.0014,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-L,0.0010,0.0012,Total-Lipids in Small HDL
S-VLDL-TG%,0.0010,0.0011,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-TG%,0.0010,0.0010,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-TG%,0.0015,0.0009,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-C%,0.0005,0.0009,Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-C%,0.0005,0.0009,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-CE%,0.0010,0.0005,Cholesteryl Esters to Total-Lipids in Large LDL percentage
