Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Acetate,0.0865,0.0705,Acetate
L-HDL-C%,0.0643,0.0642,Cholesterol to Total-Lipids in Large HDL percentage
Gln,0.0490,0.0479,Glutamine
His,0.0238,0.0370,Histidine
Pyruvate,0.0437,0.0344,Pyruvate
Acetoacetate,0.0305,0.0323,Acetoacetate
3-Hydroxybutyrate,0.0285,0.0304,3-Hydroxybutyrate
GlycA,0.0397,0.0294,Glycoprotein Acetyls
Ala,0.0255,0.0288,Alanine
Gly,0.0223,0.0286,Glycine
Creatinine,0.0282,0.0284,Creatinine
L-HDL-CE%,0.0273,0.0271,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Lactate,0.0165,0.0270,Lactate
XS-VLDL-PL%,0.0340,0.0268,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-CE%,0.0248,0.0266,Cholesteryl Esters to Total-Lipids in IDL percentage
Tyr,0.0275,0.0251,Tyrosine
Phe,0.0323,0.0243,Phenylalanine
M-HDL-PL%,0.0263,0.0221,Phospholipids to Total-Lipids in Medium HDL percentage
Sc-ala,0.0182,0.0221,Spectrometer-corrected alanine
LA%,0.0322,0.0207,Linoleic Acid to Total-Fatty Acids percentage
S-HDL-PL%,0.0132,0.0206,Phospholipids to Total-Lipids in Small HDL percentage
Citrate,0.0205,0.0195,Citrate
IDL-PL%,0.0123,0.0156,Phospholipids to Total-Lipids in IDL percentage
M-LDL-PL%,0.0068,0.0146,Phospholipids to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,0.0075,0.0143,Phospholipids to Total-Lipids in Very Large VLDL percentage
Val,0.0215,0.0143,Valine
LDL-size,0.0120,0.0141,Average Diameter for LDL Particles
L-LDL-CE%,0.0067,0.0117,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Omega-6/Omega-3,0.0113,0.0110,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3%,0.0102,0.0107,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-C%,0.0103,0.0099,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-PL%,0.0100,0.0093,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,0.0045,0.0093,Triglycerides to Total-Lipids in Medium LDL percentage
Albumin,0.0048,0.0085,Albumin
Glu,0.0097,0.0081,Glucose
Acetone,0.0065,0.0075,Acetone
Ile,0.0042,0.0073,Isoleucine
XS-VLDL-FC%,0.0065,0.0069,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-PL%,0.0063,0.0066,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA,0.0073,0.0063,Polyunsaturated Fatty Acids
L-LDL-C%,0.0032,0.0062,Cholesterol to Total-Lipids in Large LDL percentage
IDL-FC%,0.0078,0.0058,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-TG,0.0053,0.0056,Triglycerides in Very Large HDL
XS-VLDL-CE%,0.0062,0.0054,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-HDL-FC%,0.0045,0.0052,Free Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-CE%,0.0048,0.0049,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-C%,0.0047,0.0049,Cholesterol to Total-Lipids in IDL percentage
MUFA%,0.0022,0.0047,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0060,0.0047,Glucose-lactate
L-LDL-PL%,0.0040,0.0045,Phospholipids to Total-Lipids in Large LDL percentage
Omega-6%,0.0077,0.0045,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.0073,0.0044,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-TG%,0.0038,0.0043,Triglycerides to Total-Lipids in IDL percentage
M-HDL-FC%,0.0040,0.0043,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,0.0030,0.0041,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-HDL-C,0.0065,0.0041,Cholesterol in Very Large HDL
XS-VLDL-C%,0.0052,0.0039,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-TG%,0.0022,0.0037,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-PL%,0.0020,0.0035,Phospholipids to Total-Lipids in Small LDL percentage
XL-HDL-C%,0.0017,0.0033,Cholesterol to Total-Lipids in Very Large HDL percentage
Total-BCAA,0.0050,0.0032,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,0.0030,0.0032,Leucine
ApoB/ApoA1,0.0040,0.0032,Apolipoprotein B to Apolipoprotein A1 ratio
L-VLDL-FC%,0.0005,0.0027,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-TG,0.0047,0.0026,Triglycerides in Large HDL
