Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.582 [0.566 - 0.602],0.558 [0.556 - 0.560],0.559 [0.531 - 0.595],0.558 [0.556 - 0.560],0.006 [0.006 - 0.007],0.118 [0.089 - 0.153],0.013 [0.012 - 0.014]
Demographic,0.606 [0.589 - 0.622],0.593 [0.591 - 0.596],0.596 [0.569 - 0.624],0.593 [0.591 - 0.596],0.007 [0.007 - 0.008],0.189 [0.162 - 0.217],0.015 [0.014 - 0.015]
Metabolite+Demographic,0.617 [0.602 - 0.637],0.589 [0.587 - 0.591],0.592 [0.565 - 0.622],0.589 [0.587 - 0.591],0.007 [0.007 - 0.008],0.181 [0.154 - 0.211],0.014 [0.013 - 0.015]
