Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.510 [0.467 - 0.557],0.492 [0.490 - 0.494],0.488 [0.435 - 0.570],0.492 [0.490 - 0.494],0.001 [0.001 - 0.001],-0.020 [-0.072 - 0.061],0.002 [0.001 - 0.002]
Demographic,0.560 [0.515 - 0.593],0.555 [0.553 - 0.557],0.558 [0.472 - 0.609],0.555 [0.553 - 0.557],0.001 [0.001 - 0.001],0.112 [0.027 - 0.165],0.002 [0.002 - 0.003]
Metabolite+Demographic,0.531 [0.482 - 0.578],0.517 [0.515 - 0.519],0.517 [0.454 - 0.593],0.517 [0.515 - 0.519],0.001 [0.001 - 0.001],0.035 [-0.030 - 0.110],0.002 [0.002 - 0.002]
