Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.498 [0.473 - 0.526],0.495 [0.493 - 0.498],0.499 [0.456 - 0.538],0.495 [0.493 - 0.498],0.003 [0.002 - 0.003],-0.006 [-0.048 - 0.033],0.005 [0.005 - 0.006]
Demographic,0.578 [0.551 - 0.600],0.568 [0.566 - 0.571],0.565 [0.516 - 0.609],0.568 [0.566 - 0.571],0.004 [0.003 - 0.004],0.134 [0.085 - 0.177],0.007 [0.006 - 0.008]
Metabolite+Demographic,0.572 [0.550 - 0.600],0.559 [0.557 - 0.561],0.556 [0.515 - 0.600],0.559 [0.557 - 0.562],0.003 [0.003 - 0.004],0.114 [0.074 - 0.160],0.007 [0.006 - 0.007]
