Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.585 [0.553 - 0.611],0.570 [0.568 - 0.572],0.573 [0.511 - 0.626],0.570 [0.568 - 0.572],0.002 [0.002 - 0.002],0.144 [0.081 - 0.196],0.004 [0.003 - 0.004]
Demographic,0.815 [0.798 - 0.828],0.746 [0.744 - 0.748],0.752 [0.690 - 0.788],0.746 [0.744 - 0.748],0.004 [0.003 - 0.004],0.497 [0.436 - 0.533],0.008 [0.007 - 0.009]
Metabolite+Demographic,0.805 [0.789 - 0.821],0.743 [0.741 - 0.745],0.744 [0.683 - 0.787],0.743 [0.741 - 0.745],0.004 [0.003 - 0.004],0.488 [0.424 - 0.530],0.008 [0.007 - 0.009]
