Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.626 [0.604 - 0.653],0.586 [0.584 - 0.588],0.584 [0.556 - 0.630],0.586 [0.584 - 0.588],0.003 [0.003 - 0.004],0.170 [0.142 - 0.217],0.006 [0.006 - 0.007]
Demographic,0.552 [0.527 - 0.576],0.544 [0.542 - 0.547],0.550 [0.507 - 0.585],0.544 [0.542 - 0.547],0.003 [0.002 - 0.003],0.094 [0.050 - 0.129],0.006 [0.005 - 0.006]
Metabolite+Demographic,0.622 [0.600 - 0.651],0.582 [0.580 - 0.583],0.580 [0.550 - 0.630],0.582 [0.580 - 0.583],0.003 [0.003 - 0.004],0.161 [0.132 - 0.213],0.006 [0.006 - 0.007]
