Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.531 [0.507 - 0.556],0.531 [0.529 - 0.533],0.530 [0.500 - 0.579],0.531 [0.529 - 0.533],0.003 [0.002 - 0.003],0.062 [0.031 - 0.110],0.005 [0.005 - 0.006]
Demographic,0.627 [0.609 - 0.650],0.593 [0.591 - 0.595],0.589 [0.558 - 0.644],0.593 [0.591 - 0.595],0.003 [0.003 - 0.004],0.183 [0.151 - 0.239],0.007 [0.006 - 0.008]
Metabolite+Demographic,0.625 [0.604 - 0.648],0.585 [0.583 - 0.587],0.584 [0.549 - 0.630],0.585 [0.583 - 0.587],0.003 [0.003 - 0.004],0.170 [0.134 - 0.215],0.007 [0.006 - 0.008]
