Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.522 [0.493 - 0.548],0.519 [0.517 - 0.521],0.518 [0.474 - 0.564],0.519 [0.517 - 0.521],0.002 [0.002 - 0.003],0.036 [-0.009 - 0.081],0.005 [0.004 - 0.005]
Demographic,0.607 [0.586 - 0.630],0.583 [0.581 - 0.584],0.584 [0.541 - 0.623],0.583 [0.581 - 0.584],0.003 [0.003 - 0.004],0.167 [0.125 - 0.206],0.006 [0.006 - 0.007]
Metabolite+Demographic,0.606 [0.584 - 0.629],0.584 [0.582 - 0.586],0.587 [0.550 - 0.626],0.584 [0.582 - 0.586],0.003 [0.003 - 0.004],0.171 [0.134 - 0.209],0.006 [0.006 - 0.007]
