Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.660 [0.635 - 0.679],0.630 [0.628 - 0.632],0.629 [0.586 - 0.662],0.630 [0.628 - 0.632],0.005 [0.004 - 0.005],0.259 [0.217 - 0.293],0.009 [0.008 - 0.010]
Demographic,0.810 [0.788 - 0.829],0.753 [0.752 - 0.755],0.755 [0.715 - 0.791],0.753 [0.752 - 0.755],0.008 [0.007 - 0.009],0.508 [0.467 - 0.544],0.016 [0.015 - 0.018]
Metabolite+Demographic,0.804 [0.783 - 0.825],0.749 [0.748 - 0.751],0.751 [0.709 - 0.782],0.749 [0.748 - 0.751],0.008 [0.007 - 0.009],0.501 [0.458 - 0.532],0.016 [0.014 - 0.017]
