Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-C%,0.95 [0.93-0.96],1.257e-08,***,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC,0.95 [0.93-0.96],2.083e-09,***,Free Cholesterol in Medium LDL
XL-HDL-CE%,0.95 [0.93-0.96],7.919e-07,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-FC%,0.95 [0.93-0.96],1.327e-08,***,Free Cholesterol to Total-Lipids in Small HDL percentage
Clinical LDL-C,0.95 [0.93-0.96],2.474e-09,***,Clinical LDL Cholesterol
XL-HDL-L,0.95 [0.93-0.96],6.758e-08,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.95 [0.93-0.96],1.199e-08,***,Concentration of Very Large HDL Particles
S-HDL-CE%,0.95 [0.93-0.96],5.017e-10,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-VLDL-CE%,0.94 [0.93-0.96],9.177e-11,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-VLDL-CE%,0.94 [0.93-0.96],1.563e-09,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
IDL-CE,0.94 [0.93-0.96],9.744e-11,***,Cholesteryl Esters in IDL
M-HDL-FC%,0.94 [0.93-0.96],1.560e-06,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-C,0.94 [0.93-0.96],1.845e-11,***,Cholesterol in IDL
L-LDL-FC,0.94 [0.93-0.96],6.009e-12,***,Free Cholesterol in Large LDL
LDL-FC,0.94 [0.93-0.96],4.132e-12,***,Free Cholesterol in LDL
IDL-FC,0.94 [0.93-0.95],4.300e-12,***,Free Cholesterol in IDL
M-HDL-CE%,0.94 [0.93-0.95],6.818e-11,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-VLDL-CE,0.94 [0.93-0.95],2.689e-13,***,Cholesteryl Esters in Medium VLDL
Unsaturation,0.94 [0.93-0.95],2.025e-10,***,Degree of Unsaturation
XL-VLDL-FC%,0.94 [0.93-0.95],1.003e-12,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-CE,0.94 [0.93-0.95],9.498e-12,***,Cholesteryl Esters in Very Large HDL
Citrate,0.94 [0.93-0.95],1.914e-13,***,Citrate
S-LDL-FC,0.94 [0.93-0.95],5.033e-15,***,Free Cholesterol in Small LDL
XL-HDL-FC,0.94 [0.93-0.95],9.197e-14,***,Free Cholesterol in Very Large HDL
XL-HDL-C,0.94 [0.92-0.95],1.051e-12,***,Cholesterol in Very Large HDL
M-HDL-C%,0.94 [0.92-0.95],2.276e-13,***,Cholesterol to Total-Lipids in Medium HDL percentage
