Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.27 [1.17-1.38],0.005,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-FC,1.27 [1.19-1.36],9.182e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
Total-TG,1.27 [1.18-1.36],5.388e-05,***,Total-Triglycerides
S-VLDL-TG,1.26 [1.18-1.35],8.671e-06,***,Triglycerides in Small VLDL
XS-VLDL-TG,1.26 [1.18-1.35],1.300e-06,***,Triglycerides in Very Small VLDL
MUFA,1.26 [1.17-1.36],8.363e-04,***,Monounsaturated Fatty Acids
VLDL-TG,1.26 [1.17-1.35],2.077e-04,***,Triglycerides in VLDL
LDL-TG,1.26 [1.17-1.34],8.634e-06,***,Triglycerides in LDL
HDL-TG,1.25 [1.17-1.34],4.595e-05,***,Triglycerides in HDL
M-HDL-TG,1.24 [1.16-1.33],9.897e-05,***,Triglycerides in Medium HDL
XXL-VLDL-C,1.24 [1.16-1.33],2.074e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,1.24 [1.16-1.33],3.297e-04,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,1.24 [1.15-1.33],0.001,**,Total-Lipids in Very Large VLDL
L-LDL-TG,1.23 [1.15-1.32],3.480e-04,***,Triglycerides in Large LDL
Phe,1.23 [1.15-1.32],7.456e-04,***,Phenylalanine
XXL-VLDL-CE,1.21 [1.13-1.30],0.017,*,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
IDL-TG,1.20 [1.13-1.29],0.020,*,Triglycerides in IDL
LDL-L,0.82 [0.77-0.88],0.027,*,Total-Lipids in LDL
ApoB,0.82 [0.77-0.88],0.020,*,Apolipoprotein B
L-LDL-P,0.82 [0.76-0.88],0.018,*,Concentration of Large LDL Particles
XL-HDL-CE%,0.82 [0.76-0.88],0.014,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
LDL-PL,0.81 [0.76-0.87],0.003,**,Phospholipids in LDL
L-LDL-CE,0.81 [0.75-0.87],0.001,**,Cholesteryl Esters in Large LDL
LDL-C,0.80 [0.75-0.86],5.188e-04,***,LDL Cholesterol
S-HDL-CE%,0.80 [0.75-0.86],2.285e-04,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
SM,0.80 [0.74-0.87],0.004,**,Sphingomyelins
XL-HDL-PL%,0.80 [0.75-0.86],2.100e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Remnant-C,0.80 [0.75-0.86],2.635e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-L,0.80 [0.75-0.86],3.105e-04,***,Total-Lipids in Large LDL
Non-HDL-C,0.80 [0.75-0.86],1.525e-04,***,Total-Cholesterol Minus HDL-C
Gly,0.80 [0.74-0.86],0.002,**,Glycine
HDL-C,0.79 [0.73-0.86],0.024,*,HDL Cholesterol
HDL-CE,0.79 [0.73-0.86],0.016,*,Cholesteryl Esters in HDL
M-LDL-FC,0.79 [0.73-0.85],5.546e-05,***,Free Cholesterol in Medium LDL
L-LDL-C,0.78 [0.73-0.84],9.948e-06,***,Cholesterol in Large LDL
Total-FC,0.78 [0.73-0.84],1.167e-05,***,Total-Free Cholesterol
M-HDL-CE%,0.78 [0.73-0.84],1.415e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-LDL-PL,0.78 [0.72-0.84],2.578e-06,***,Phospholipids in Large LDL
XXL-VLDL-CE%,0.77 [0.72-0.84],9.309e-06,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-FC,0.77 [0.72-0.83],4.225e-07,***,Free Cholesterol in Small LDL
XS-VLDL-C,0.77 [0.72-0.83],5.592e-07,***,Cholesterol in Very Small VLDL
Clinical LDL-C,0.77 [0.72-0.82],3.441e-08,***,Clinical LDL Cholesterol
Total-C,0.77 [0.72-0.83],2.612e-07,***,Total-Cholesterol
S-HDL-C%,0.77 [0.72-0.82],7.142e-08,***,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-C,0.77 [0.71-0.82],2.127e-07,***,Cholesterol in Medium VLDL
Total-CE,0.76 [0.71-0.82],1.047e-07,***,Total-Esterified Cholesterol
IDL-FC%,0.76 [0.71-0.82],8.724e-09,***,Free Cholesterol to Total-Lipids in IDL percentage
IDL-P,0.76 [0.71-0.82],3.189e-08,***,Concentration of IDL Particles
XXL-VLDL-C%,0.76 [0.70-0.83],2.250e-05,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C%,0.75 [0.70-0.81],7.936e-10,***,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-FC,0.75 [0.70-0.81],1.793e-09,***,Free Cholesterol in LDL
HDL-size,0.75 [0.68-0.82],1.498e-04,***,Average Diameter for HDL Particles
L-HDL-L,0.75 [0.69-0.82],5.919e-05,***,Total-Lipids in Large HDL
IDL-PL,0.75 [0.69-0.80],9.159e-10,***,Phospholipids in IDL
L-HDL-P,0.75 [0.68-0.82],7.380e-05,***,Concentration of Large HDL Particles
S-LDL-FC%,0.74 [0.70-0.79],1.408e-16,***,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-L,0.74 [0.69-0.80],1.093e-10,***,Total-Lipids in IDL
S-VLDL-CE%,0.74 [0.70-0.79],2.401e-13,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XS-VLDL-CE,0.74 [0.69-0.80],1.940e-10,***,Cholesteryl Esters in Very Small VLDL
L-HDL-FC,0.74 [0.67-0.81],1.442e-05,***,Free Cholesterol in Large HDL
L-LDL-FC,0.73 [0.68-0.79],3.260e-11,***,Free Cholesterol in Large LDL
L-HDL-FC%,0.73 [0.68-0.78],3.085e-14,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-C%,0.73 [0.68-0.78],5.971e-13,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-PL%,0.72 [0.68-0.77],2.646e-18,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-PL,0.72 [0.66-0.79],2.249e-07,***,Phospholipids in Very Large HDL
IDL-FC,0.72 [0.67-0.77],1.977e-13,***,Free Cholesterol in IDL
XL-HDL-P,0.72 [0.66-0.79],1.490e-07,***,Concentration of Very Large HDL Particles
IDL-CE,0.72 [0.67-0.77],3.513e-14,***,Cholesteryl Esters in IDL
S-LDL-C%,0.72 [0.67-0.77],3.557e-18,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-C,0.72 [0.67-0.77],1.926e-14,***,Cholesterol in IDL
M-VLDL-CE,0.72 [0.67-0.77],1.706e-13,***,Cholesteryl Esters in Medium VLDL
XS-VLDL-FC%,0.72 [0.67-0.76],5.331e-18,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.71 [0.66-0.77],2.166e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Unsaturation,0.71 [0.66-0.77],1.096e-12,***,Degree of Unsaturation
L-HDL-C,0.71 [0.65-0.78],3.716e-08,***,Cholesterol in Large HDL
IDL-CE%,0.71 [0.67-0.76],8.996e-21,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-CE,0.71 [0.65-0.77],2.441e-08,***,Cholesteryl Esters in Large HDL
XL-HDL-FC,0.71 [0.65-0.77],2.826e-11,***,Free Cholesterol in Very Large HDL
M-VLDL-CE%,0.71 [0.67-0.75],2.366e-29,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-HDL-L,0.70 [0.64-0.77],3.508e-09,***,Total-Lipids in Very Large HDL
M-LDL-FC%,0.70 [0.66-0.75],3.677e-19,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE%,0.70 [0.66-0.75],2.423e-23,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-C%,0.69 [0.65-0.74],1.260e-21,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,0.69 [0.65-0.74],3.950e-23,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-C%,0.69 [0.65-0.73],4.735e-26,***,Cholesterol to Total-Lipids in IDL percentage
