Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.0515,0.0565,Albumin
Omega-6/Omega-3,0.0540,0.0471,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-CE%,0.0583,0.0464,Cholesteryl Esters to Total-Lipids in IDL percentage
Tyr,0.0443,0.0457,Tyrosine
Creatinine,0.0483,0.0407,Creatinine
LDL-size,0.0192,0.0405,Average Diameter for LDL Particles
L-HDL-CE%,0.0585,0.0387,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Acetate,0.0453,0.0382,Acetate
Omega-3%,0.0463,0.0362,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Acetoacetate,0.0298,0.0361,Acetoacetate
His,0.0297,0.0346,Histidine
Gly,0.0412,0.0335,Glycine
Acetone,0.0292,0.0276,Acetone
LA%,0.0237,0.0265,Linoleic Acid to Total-Fatty Acids percentage
Pyruvate,0.0205,0.0260,Pyruvate
XL-VLDL-PL%,0.0267,0.0246,Phospholipids to Total-Lipids in Very Large VLDL percentage
Sc-ala,0.0203,0.0237,Spectrometer-corrected alanine
Val,0.0235,0.0235,Valine
DHA%,0.0167,0.0231,Docosahexaenoic Acid to Total-Fatty Acids percentage
Phe,0.0195,0.0227,Phenylalanine
Citrate,0.0158,0.0204,Citrate
S-HDL-TG,0.0283,0.0183,Triglycerides in Small HDL
Lactate,0.0162,0.0181,Lactate
L-LDL-CE%,0.0190,0.0155,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-LDL-PL%,0.0067,0.0112,Phospholipids to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0098,0.0110,3-Hydroxybutyrate
Gln,0.0067,0.0104,Glutamine
S-HDL-TG%,0.0133,0.0103,Triglycerides to Total-Lipids in Small HDL percentage
XXL-VLDL-CE%,0.0127,0.0100,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
SFA%,0.0048,0.0099,Saturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG,0.0147,0.0097,Triglycerides in Large VLDL
Glu-lactate,0.0102,0.0096,Glucose-lactate
Ile,0.0090,0.0090,Isoleucine
Leu,0.0042,0.0089,Leucine
GlycA,0.0060,0.0088,Glycoprotein Acetyls
IDL-PL%,0.0078,0.0085,Phospholipids to Total-Lipids in IDL percentage
XL-VLDL-FC%,0.0130,0.0078,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
VLDL-size,0.0057,0.0077,Average Diameter for VLDL Particles
S-HDL-L,0.0055,0.0069,Total-Lipids in Small HDL
L-VLDL-C%,0.0060,0.0067,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.0027,0.0055,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,0.0045,0.0050,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-PL%,0.0025,0.0050,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-C%,0.0017,0.0050,Cholesterol to Total-Lipids in Medium LDL percentage
Total-BCAA,0.0015,0.0049,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-CE%,0.0030,0.0043,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Ala,0.0035,0.0042,Alanine
PUFA%,0.0035,0.0039,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-FC%,0.0030,0.0038,Free Cholesterol to Total-Lipids in Large VLDL percentage
SM,0.0040,0.0037,Sphingomyelins
S-HDL-CE,0.0017,0.0036,Cholesteryl Esters in Small HDL
XXL-VLDL-TG%,0.0023,0.0036,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
SFA,0.0053,0.0035,Saturated Fatty Acids
L-HDL-C%,0.0025,0.0031,Cholesterol to Total-Lipids in Large HDL percentage
IDL-P,0.0040,0.0027,Concentration of IDL Particles
XS-VLDL-C%,0.0048,0.0026,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,0.0015,0.0025,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-FC%,0.0030,0.0025,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-CE,0.0008,0.0021,Cholesteryl Esters in Very Large HDL
S-LDL-C%,0.0025,0.0021,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-CE%,0.0013,0.0018,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-FC%,0.0047,0.0018,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-PL%,0.0010,0.0017,Phospholipids to Total-Lipids in Medium LDL percentage
Glu,0.0015,0.0015,Glucose
M-LDL-TG%,0.0012,0.0015,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,0.0023,0.0014,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-PL%,0.0017,0.0013,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,0.0022,0.0013,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-PL,0.0015,0.0010,Phospholipids in Very Large HDL
S-LDL-PL%,0.0012,0.0008,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-CE%,0.0005,0.0006,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-HDL-C%,0.0003,0.0005,Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE,0.0005,0.0002,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
