Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Gly,0.0880,0.0676,Glycine
Pyruvate,0.0475,0.0549,Pyruvate
IDL-FC%,0.0615,0.0525,Free Cholesterol to Total-Lipids in IDL percentage
His,0.0455,0.0484,Histidine
M-LDL-PL%,0.0572,0.0441,Phospholipids to Total-Lipids in Medium LDL percentage
LDL-size,0.0245,0.0406,Average Diameter for LDL Particles
Acetone,0.0320,0.0371,Acetone
L-HDL-TG,0.0647,0.0351,Triglycerides in Large HDL
Tyr,0.0280,0.0347,Tyrosine
GlycA,0.0338,0.0323,Glycoprotein Acetyls
Albumin,0.0267,0.0286,Albumin
S-HDL-PL%,0.0313,0.0268,Phospholipids to Total-Lipids in Small HDL percentage
XL-VLDL-PL%,0.0425,0.0258,Phospholipids to Total-Lipids in Very Large VLDL percentage
Unsaturation,0.0185,0.0235,Degree of Unsaturation
IDL-CE%,0.0252,0.0220,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu,0.0220,0.0218,Glucose
Creatinine,0.0170,0.0199,Creatinine
Ala,0.0110,0.0197,Alanine
Glu-lactate,0.0133,0.0190,Glucose-lactate
Lactate,0.0297,0.0190,Lactate
Phe,0.0142,0.0173,Phenylalanine
Ile,0.0085,0.0168,Isoleucine
SFA%,0.0170,0.0156,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,0.0285,0.0153,Phospholipids to Total-Lipids in IDL percentage
Val,0.0058,0.0130,Valine
Gln,0.0105,0.0129,Glutamine
Acetate,0.0057,0.0127,Acetate
XL-HDL-FC%,0.0043,0.0124,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.0117,0.0116,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-LDL-PL%,0.0078,0.0114,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,0.0132,0.0111,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,0.0097,0.0097,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-C%,0.0050,0.0095,Cholesterol to Total-Lipids in Small LDL percentage
Citrate,0.0073,0.0084,Citrate
XL-HDL-PL%,0.0025,0.0081,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,0.0065,0.0079,Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-P,0.0058,0.0071,Concentration of Small HDL Particles
S-VLDL-L,0.0093,0.0068,Total-Lipids in Small VLDL
S-HDL-L,0.0055,0.0065,Total-Lipids in Small HDL
M-HDL-FC%,0.0072,0.0062,Free Cholesterol to Total-Lipids in Medium HDL percentage
3-Hydroxybutyrate,0.0027,0.0060,3-Hydroxybutyrate
Omega-3%,0.0050,0.0057,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL,0.0017,0.0056,Phospholipids in Large HDL
M-HDL-PL%,0.0072,0.0051,Phospholipids to Total-Lipids in Medium HDL percentage
Omega-3,0.0052,0.0046,Omega-3 Fatty Acids
IDL-C%,0.0082,0.0046,Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-PL%,0.0013,0.0045,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,0.0017,0.0043,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-C,0.0067,0.0043,Cholesterol in Small HDL
Omega-6%,0.0032,0.0040,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.0048,0.0040,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-PL,0.0030,0.0038,Phospholipids in Medium VLDL
XXL-VLDL-TG%,0.0035,0.0037,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Leu,0.0035,0.0037,Leucine
MUFA,0.0070,0.0036,Monounsaturated Fatty Acids
MUFA%,0.0030,0.0033,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-PL%,0.0013,0.0030,Phospholipids to Total-Lipids in Large VLDL percentage
PUFA%,0.0007,0.0030,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG,0.0013,0.0030,Triglycerides in Medium VLDL
L-HDL-CE%,0.0030,0.0026,Cholesteryl Esters to Total-Lipids in Large HDL percentage
LA%,0.0017,0.0025,Linoleic Acid to Total-Fatty Acids percentage
Sc-ala,0.0033,0.0022,Spectrometer-corrected alanine
L-HDL-PL%,0.0017,0.0021,Phospholipids to Total-Lipids in Large HDL percentage
DHA%,0.0017,0.0020,Docosahexaenoic Acid to Total-Fatty Acids percentage
XS-VLDL-PL,0.0023,0.0020,Phospholipids in Very Small VLDL
Acetoacetate,0.0032,0.0018,Acetoacetate
XS-VLDL-CE,0.0012,0.0018,Cholesteryl Esters in Very Small VLDL
XXL-VLDL-CE%,0.0007,0.0016,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C,0.0010,0.0015,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,0.0007,0.0014,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,0.0008,0.0014,Triglycerides in Chylomicrons and Extremely Large VLDL
S-HDL-CE,0.0002,0.0011,Cholesteryl Esters in Small HDL
XXL-VLDL-FC,0.0005,0.0011,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-CE%,0.0005,0.0008,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Omega-6,0.0002,0.0004,Omega-6 Fatty Acids
PUFA/MUFA,0.0008,0.0004,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
