Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Leu,0.0848,0.0696,Leucine
IDL-CE%,0.0552,0.0600,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-C%,0.0513,0.0561,Cholesterol to Total-Lipids in Small LDL percentage
Albumin,0.0708,0.0558,Albumin
GlycA,0.0577,0.0548,Glycoprotein Acetyls
Acetate,0.0343,0.0473,Acetate
Citrate,0.0462,0.0465,Citrate
His,0.0368,0.0386,Histidine
SFA%,0.0438,0.0374,Saturated Fatty Acids to Total-Fatty Acids percentage
Gly,0.0530,0.0339,Glycine
L-LDL-CE%,0.0422,0.0309,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Creatinine,0.0538,0.0306,Creatinine
Val,0.0302,0.0278,Valine
LDL-size,0.0148,0.0250,Average Diameter for LDL Particles
Gln,0.0208,0.0241,Glutamine
Lactate,0.0260,0.0237,Lactate
Acetoacetate,0.0140,0.0233,Acetoacetate
IDL-FC%,0.0123,0.0230,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-TG%,0.0072,0.0187,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-CE%,0.0162,0.0184,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-PL%,0.0157,0.0178,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-PL%,0.0128,0.0175,Phospholipids to Total-Lipids in IDL percentage
Phe,0.0230,0.0173,Phenylalanine
M-LDL-C%,0.0180,0.0166,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL%,0.0138,0.0161,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0127,0.0157,Isoleucine
Tyr,0.0160,0.0150,Tyrosine
Pyruvate,0.0072,0.0104,Pyruvate
Glu,0.0102,0.0100,Glucose
Acetone,0.0053,0.0094,Acetone
Glu-lactate,0.0043,0.0081,Glucose-lactate
XXL-VLDL-C%,0.0028,0.0064,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,0.0085,0.0054,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-PL%,0.0050,0.0052,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-FC%,0.0028,0.0048,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-C,0.0040,0.0047,Cholesterol in Small HDL
S-HDL-TG%,0.0027,0.0046,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-FC%,0.0025,0.0046,Free Cholesterol to Total-Lipids in Small HDL percentage
LDL-L,0.0035,0.0045,Total-Lipids in LDL
XS-VLDL-PL%,0.0057,0.0045,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-PL%,0.0030,0.0044,Phospholipids to Total-Lipids in Large LDL percentage
S-HDL-C%,0.0023,0.0043,Cholesterol to Total-Lipids in Small HDL percentage
Total-BCAA,0.0067,0.0042,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-FC%,0.0028,0.0040,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Sc-ala,0.0023,0.0037,Spectrometer-corrected alanine
3-Hydroxybutyrate,0.0045,0.0037,3-Hydroxybutyrate
M-LDL-TG%,0.0053,0.0034,Triglycerides to Total-Lipids in Medium LDL percentage
XXL-VLDL-L,0.0010,0.0033,Total-Lipids in Chylomicrons and Extremely Large VLDL
S-HDL-L,0.0030,0.0033,Total-Lipids in Small HDL
L-VLDL-TG,0.0025,0.0025,Triglycerides in Large VLDL
M-LDL-FC%,0.0002,0.0021,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-TG%,0.0020,0.0020,Triglycerides to Total-Lipids in Large HDL percentage
Ala,0.0020,0.0019,Alanine
S-LDL-PL%,0.0010,0.0015,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-P,0.0023,0.0014,Concentration of Small HDL Particles
S-VLDL-P,0.0012,0.0012,Concentration of Small VLDL Particles
XL-HDL-TG%,0.0013,0.0011,Triglycerides to Total-Lipids in Very Large HDL percentage
Unsaturation,0.0002,0.0010,Degree of Unsaturation
Omega-6/Omega-3,0.0008,0.0010,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
PUFA%,0.0015,0.0010,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,0.0013,0.0009,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-CE%,0.0012,0.0008,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-C%,0.0003,0.0007,Cholesterol to Total-Lipids in IDL percentage
DHA%,0.0002,0.0006,Docosahexaenoic Acid to Total-Fatty Acids percentage
LA%,0.0007,0.0004,Linoleic Acid to Total-Fatty Acids percentage
XL-VLDL-CE,0.0005,0.0004,Cholesteryl Esters in Very Large VLDL
XL-VLDL-FC%,0.0008,0.0004,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-FC%,0.0003,0.0004,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-C,0.0007,0.0003,Cholesterol in Very Large VLDL
