Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-HDL-PL%,0.1455,0.4042,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,0.2687,0.1810,Glycoprotein Acetyls
PUFA/MUFA,0.0667,0.1160,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Albumin,0.2387,0.1071,Albumin
LA%,0.0760,0.0969,Linoleic Acid to Total-Fatty Acids percentage
DHA,0.0655,0.0345,Docosahexaenoic Acid
L-LDL-C%,0.0333,0.0208,Cholesterol to Total-Lipids in Large LDL percentage
LA,0.0233,0.0103,Linoleic Acid
MUFA%,0.0037,0.0061,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,0.0143,0.0045,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,0.0112,0.0037,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-CE%,0.0113,0.0031,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Omega-3%,0.0090,0.0022,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0070,0.0020,Glucose-lactate
XS-VLDL-FC%,0.0052,0.0015,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3,0.0042,0.0012,Omega-3 Fatty Acids
S-VLDL-CE%,0.0038,0.0011,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-HDL-TG,0.0023,0.0007,Triglycerides in Large HDL
S-VLDL-TG%,0.0017,0.0005,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-TG,0.0017,0.0004,Triglycerides in Very Large HDL
HDL-CE,0.0015,0.0004,Cholesteryl Esters in HDL
Omega-6/Omega-3,0.0015,0.0004,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Tyr,0.0013,0.0004,Tyrosine
DHA%,0.0008,0.0003,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-HDL-P,0.0005,0.0003,Concentration of Large HDL Particles
Pyruvate,0.0007,0.0001,Pyruvate
Glu,0.0003,9.9455e-05,Glucose
L-VLDL-FC%,0.0002,5.0463e-05,Free Cholesterol to Total-Lipids in Large VLDL percentage
Gly,0.0002,4.7270e-05,Glycine
