Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2020,0.1978,Creatinine
Citrate,0.1292,0.1697,Citrate
Gly,0.1157,0.1332,Glycine
GlycA,0.0927,0.0864,Glycoprotein Acetyls
XL-HDL-C%,0.0583,0.0792,Cholesterol to Total-Lipids in Very Large HDL percentage
IDL-TG,0.0545,0.0558,Triglycerides in IDL
Albumin,0.0700,0.0550,Albumin
LA%,0.0435,0.0322,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-PL,0.0232,0.0235,Phospholipids in Very Small VLDL
Leu,0.0340,0.0208,Leucine
XL-HDL-FC%,0.0150,0.0186,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG,0.0177,0.0167,Triglycerides in Very Small VLDL
VLDL-size,0.0213,0.0161,Average Diameter for VLDL Particles
L-LDL-TG,0.0133,0.0123,Triglycerides in Large LDL
XS-VLDL-L,0.0118,0.0118,Total-Lipids in Very Small VLDL
L-LDL-TG%,0.0100,0.0076,Triglycerides to Total-Lipids in Large LDL percentage
IDL-CE%,0.0097,0.0070,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-HDL-PL%,0.0073,0.0061,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-CE%,0.0062,0.0061,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XS-VLDL-C,0.0090,0.0059,Cholesterol in Very Small VLDL
L-HDL-PL,0.0062,0.0051,Phospholipids in Large HDL
LDL-TG,0.0038,0.0050,Triglycerides in LDL
XS-VLDL-P,0.0073,0.0050,Concentration of Very Small VLDL Particles
XS-VLDL-FC,0.0062,0.0049,Free Cholesterol in Very Small VLDL
L-VLDL-TG%,0.0047,0.0031,Triglycerides to Total-Lipids in Large VLDL percentage
L-LDL-C%,0.0065,0.0029,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE,0.0027,0.0020,Cholesteryl Esters in Very Small VLDL
L-LDL-CE%,0.0028,0.0018,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-PL%,0.0022,0.0014,Phospholipids to Total-Lipids in Large VLDL percentage
His,0.0023,0.0012,Histidine
Tyr,0.0027,0.0012,Tyrosine
LA,0.0015,0.0010,Linoleic Acid
M-LDL-C%,0.0017,0.0008,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,0.0012,0.0006,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,0.0008,0.0006,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Ile,0.0012,0.0005,Isoleucine
XL-HDL-PL,0.0007,0.0005,Phospholipids in Very Large HDL
Omega-3,0.0005,0.0003,Omega-3 Fatty Acids
Sc-ala,0.0007,0.0003,Spectrometer-corrected alanine
XS-VLDL-PL%,0.0002,7.0604e-05,Phospholipids to Total-Lipids in Very Small VLDL percentage
