Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-CE%,0.0942,0.2592,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-TG%,0.0632,0.1203,Triglycerides to Total-Lipids in Large LDL percentage
LA%,0.0887,0.1181,Linoleic Acid to Total-Fatty Acids percentage
LA,0.0918,0.1006,Linoleic Acid
Albumin,0.1285,0.0749,Albumin
GlycA,0.0965,0.0612,Glycoprotein Acetyls
Creatinine,0.0765,0.0491,Creatinine
Glu,0.0515,0.0300,Glucose
3-Hydroxybutyrate,0.0405,0.0241,3-Hydroxybutyrate
Glu-lactate,0.0348,0.0210,Glucose-lactate
L-LDL-C%,0.0217,0.0202,Cholesterol to Total-Lipids in Large LDL percentage
Leu,0.0427,0.0201,Leucine
Remnant-C,0.0222,0.0196,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Omega-3,0.0150,0.0107,Omega-3 Fatty Acids
Val,0.0185,0.0091,Valine
His,0.0138,0.0075,Histidine
Citrate,0.0120,0.0056,Citrate
Total-FC,0.0043,0.0052,Total-Free Cholesterol
S-LDL-CE%,0.0082,0.0051,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Gln,0.0097,0.0045,Glutamine
Omega-6/Omega-3,0.0090,0.0039,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-PL%,0.0040,0.0037,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,0.0050,0.0033,Phospholipids to Total-Lipids in Small LDL percentage
Omega-3%,0.0067,0.0030,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Total-BCAA,0.0060,0.0027,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Acetoacetate,0.0052,0.0024,Acetoacetate
VLDL-size,0.0045,0.0023,Average Diameter for VLDL Particles
Sc-ala,0.0052,0.0022,Spectrometer-corrected alanine
L-LDL-CE%,0.0037,0.0018,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Tyr,0.0038,0.0017,Tyrosine
Unsaturation,0.0028,0.0012,Degree of Unsaturation
IDL-PL%,0.0018,0.0012,Phospholipids to Total-Lipids in IDL percentage
XL-VLDL-CE,0.0020,0.0010,Cholesteryl Esters in Very Large VLDL
Ala,0.0022,0.0010,Alanine
IDL-TG%,0.0003,0.0007,Triglycerides to Total-Lipids in IDL percentage
S-HDL-CE%,0.0013,0.0006,Cholesteryl Esters to Total-Lipids in Small HDL percentage
IDL-C%,0.0007,0.0003,Cholesterol to Total-Lipids in IDL percentage
Pyruvate,0.0007,0.0002,Pyruvate
Lactate,0.0003,0.0001,Lactate
Omega-6,0.0002,9.7232e-05,Omega-6 Fatty Acids
LDL-size,0.0002,7.1227e-05,Average Diameter for LDL Particles
Omega-6%,0.0002,7.0853e-05,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Phe,0.0002,6.0570e-05,Phenylalanine
