Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.05 [1.04-1.07],1.529e-05,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-TG,1.05 [1.03-1.06],1.646e-04,***,Triglycerides in Large HDL
Lactate,1.05 [1.03-1.06],6.478e-04,***,Lactate
XS-VLDL-PL,1.05 [1.03-1.06],4.740e-04,***,Phospholipids in Very Small VLDL
S-HDL-PL%,1.05 [1.03-1.06],0.006,**,Phospholipids to Total-Lipids in Small HDL percentage
VLDL-P,1.04 [1.03-1.06],0.002,**,Concentration of VLDL Particles
XL-VLDL-CE,1.04 [1.03-1.06],0.022,*,Cholesteryl Esters in Very Large VLDL
XXL-VLDL-PL%,1.04 [1.03-1.06],0.007,**,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-CE,1.04 [1.03-1.06],0.021,*,Cholesteryl Esters in Large VLDL
L-LDL-PL,0.96 [0.95-0.97],0.046,*,Phospholipids in Large LDL
IDL-L,0.96 [0.94-0.97],0.026,*,Total-Lipids in IDL
XXL-VLDL-CE%,0.96 [0.94-0.97],0.003,**,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA,0.96 [0.94-0.97],0.014,*,Linoleic Acid
M-LDL-FC,0.95 [0.94-0.97],4.658e-04,***,Free Cholesterol in Medium LDL
Omega-3,0.95 [0.94-0.97],0.002,**,Omega-3 Fatty Acids
Clinical LDL-C,0.95 [0.94-0.97],5.609e-04,***,Clinical LDL Cholesterol
Total-C,0.95 [0.94-0.97],5.122e-04,***,Total-Cholesterol
S-LDL-FC,0.95 [0.94-0.96],1.972e-06,***,Free Cholesterol in Small LDL
M-VLDL-CE,0.95 [0.94-0.96],3.092e-06,***,Cholesteryl Esters in Medium VLDL
Total-CE,0.95 [0.93-0.96],2.566e-05,***,Total-Esterified Cholesterol
HDL-L,0.95 [0.93-0.96],1.002e-04,***,Total-Lipids in HDL
M-HDL-C,0.95 [0.93-0.96],1.567e-05,***,Cholesterol in Medium HDL
LDL-FC,0.95 [0.93-0.96],1.799e-07,***,Free Cholesterol in LDL
M-HDL-CE,0.95 [0.93-0.96],2.854e-06,***,Cholesteryl Esters in Medium HDL
IDL-CE,0.95 [0.93-0.96],2.179e-07,***,Cholesteryl Esters in IDL
XXL-VLDL-C%,0.94 [0.93-0.96],1.488e-07,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-FC,0.94 [0.93-0.96],2.332e-08,***,Free Cholesterol in Large LDL
HDL-FC,0.94 [0.93-0.96],1.630e-06,***,Free Cholesterol in HDL
S-VLDL-CE%,0.94 [0.93-0.96],2.322e-09,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
