Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Non-HDL-C,0.91 [0.88-0.93],6.145e-07,***,Total-Cholesterol Minus HDL-C
Albumin,0.90 [0.88-0.93],3.148e-07,***,Albumin
SM,0.90 [0.88-0.93],1.728e-06,***,Sphingomyelins
DHA%,0.90 [0.88-0.93],1.073e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-VLDL-FC%,0.90 [0.88-0.93],2.149e-07,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-CE,0.90 [0.88-0.93],1.580e-07,***,Cholesteryl Esters in Large LDL
M-LDL-FC,0.90 [0.88-0.93],5.708e-08,***,Free Cholesterol in Medium LDL
LDL-C,0.90 [0.88-0.93],8.087e-08,***,LDL Cholesterol
HDL-L,0.90 [0.87-0.93],1.079e-05,***,Total-Lipids in HDL
L-LDL-L,0.90 [0.88-0.93],5.760e-08,***,Total-Lipids in Large LDL
L-LDL-PL,0.90 [0.87-0.92],1.342e-08,***,Phospholipids in Large LDL
S-LDL-FC,0.90 [0.87-0.92],3.105e-09,***,Free Cholesterol in Small LDL
IDL-PL,0.90 [0.87-0.92],1.564e-08,***,Phospholipids in IDL
M-VLDL-CE,0.90 [0.87-0.92],3.448e-09,***,Cholesteryl Esters in Medium VLDL
L-VLDL-CE%,0.90 [0.87-0.92],9.732e-09,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-C,0.89 [0.87-0.92],8.688e-10,***,Cholesterol in Large LDL
Total-FC,0.89 [0.87-0.92],1.837e-09,***,Total-Free Cholesterol
XL-HDL-PL,0.89 [0.87-0.92],1.718e-08,***,Phospholipids in Very Large HDL
XL-HDL-FC,0.89 [0.87-0.92],4.750e-10,***,Free Cholesterol in Very Large HDL
HDL-size,0.89 [0.86-0.92],2.165e-07,***,Average Diameter for HDL Particles
XS-VLDL-FC%,0.89 [0.87-0.92],1.687e-09,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-C%,0.89 [0.87-0.92],1.149e-10,***,Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-PL,0.89 [0.86-0.92],4.949e-08,***,Phospholipids in Large HDL
Clinical LDL-C,0.89 [0.87-0.92],3.675e-11,***,Clinical LDL Cholesterol
XL-HDL-CE%,0.89 [0.86-0.92],6.830e-09,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
HDL-FC,0.89 [0.86-0.91],4.636e-09,***,Free Cholesterol in HDL
IDL-FC%,0.89 [0.86-0.91],2.217e-11,***,Free Cholesterol to Total-Lipids in IDL percentage
IDL-L,0.89 [0.86-0.91],6.113e-12,***,Total-Lipids in IDL
LDL-FC,0.88 [0.86-0.91],1.302e-12,***,Free Cholesterol in LDL
M-HDL-CE%,0.88 [0.86-0.91],8.367e-12,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-HDL-P,0.88 [0.86-0.91],4.480e-11,***,Concentration of Very Large HDL Particles
XL-HDL-L,0.88 [0.86-0.91],4.315e-11,***,Total-Lipids in Very Large HDL
L-LDL-FC,0.88 [0.86-0.90],5.711e-14,***,Free Cholesterol in Large LDL
S-LDL-FC%,0.88 [0.86-0.90],9.020e-16,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-P,0.88 [0.85-0.91],2.979e-11,***,Concentration of Large HDL Particles
XL-VLDL-C%,0.88 [0.85-0.90],2.690e-13,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-C,0.88 [0.85-0.90],1.780e-13,***,Total-Cholesterol
L-HDL-FC,0.88 [0.85-0.91],1.793e-11,***,Free Cholesterol in Large HDL
S-VLDL-C%,0.88 [0.85-0.90],3.327e-15,***,Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-CE%,0.88 [0.85-0.90],7.451e-14,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-FC,0.88 [0.85-0.90],1.105e-14,***,Free Cholesterol in IDL
S-LDL-C%,0.88 [0.85-0.90],2.576e-16,***,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-L,0.88 [0.85-0.90],1.765e-11,***,Total-Lipids in Large HDL
Total-CE,0.87 [0.85-0.90],1.875e-14,***,Total-Esterified Cholesterol
IDL-CE,0.87 [0.85-0.90],7.328e-16,***,Cholesteryl Esters in IDL
HDL-C,0.87 [0.85-0.90],8.902e-13,***,HDL Cholesterol
HDL-CE,0.87 [0.85-0.90],4.336e-13,***,Cholesteryl Esters in HDL
M-VLDL-PL%,0.87 [0.85-0.90],6.819e-17,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-C,0.87 [0.85-0.90],2.295e-16,***,Cholesterol in IDL
L-HDL-FC%,0.87 [0.84-0.90],6.230e-12,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-C,0.87 [0.84-0.90],6.759e-15,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.87 [0.84-0.89],1.388e-15,***,Cholesteryl Esters in Very Large HDL
M-HDL-C%,0.86 [0.84-0.89],2.159e-17,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-C,0.86 [0.84-0.89],7.664e-15,***,Cholesterol in Large HDL
L-HDL-CE,0.86 [0.84-0.89],3.954e-15,***,Cholesteryl Esters in Large HDL
M-LDL-FC%,0.86 [0.84-0.89],2.436e-18,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,0.86 [0.83-0.89],1.523e-17,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-FC%,0.86 [0.83-0.88],4.882e-21,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Unsaturation,0.85 [0.83-0.88],7.499e-20,***,Degree of Unsaturation
IDL-CE%,0.85 [0.82-0.87],9.124e-27,***,Cholesteryl Esters to Total-Lipids in IDL percentage
