Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-P,0.93 [0.91-0.95],3.398e-08,***,Concentration of Small LDL Particles
XS-VLDL-C,0.93 [0.91-0.95],2.270e-08,***,Cholesterol in Very Small VLDL
HDL-size,0.93 [0.91-0.95],1.475e-05,***,Average Diameter for HDL Particles
S-LDL-CE,0.93 [0.91-0.95],2.157e-08,***,Cholesteryl Esters in Small LDL
L-LDL-P,0.93 [0.91-0.95],4.136e-09,***,Concentration of Large LDL Particles
M-LDL-PL,0.93 [0.91-0.95],4.831e-09,***,Phospholipids in Medium LDL
M-LDL-L,0.93 [0.91-0.95],4.340e-09,***,Total-Lipids in Medium LDL
LA,0.93 [0.91-0.94],8.548e-09,***,Linoleic Acid
LDL-P,0.93 [0.91-0.94],1.680e-10,***,Concentration of LDL Particles
ApoB,0.92 [0.91-0.94],2.764e-11,***,Apolipoprotein B
S-LDL-L,0.92 [0.91-0.94],4.744e-11,***,Total-Lipids in Small LDL
HDL-C,0.92 [0.90-0.94],5.835e-08,***,HDL Cholesterol
HDL-CE,0.92 [0.90-0.94],1.754e-08,***,Cholesteryl Esters in HDL
L-HDL-L,0.92 [0.90-0.94],2.968e-08,***,Total-Lipids in Large HDL
M-LDL-C,0.92 [0.90-0.94],7.317e-12,***,Cholesterol in Medium LDL
SM,0.92 [0.90-0.94],1.199e-10,***,Sphingomyelins
Remnant-C,0.92 [0.90-0.94],1.999e-12,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-P,0.92 [0.90-0.94],1.989e-12,***,Concentration of Medium LDL Particles
S-LDL-PL,0.92 [0.90-0.94],3.428e-13,***,Phospholipids in Small LDL
XS-VLDL-CE,0.92 [0.90-0.94],5.113e-13,***,Cholesteryl Esters in Very Small VLDL
L-HDL-FC,0.92 [0.90-0.94],5.116e-10,***,Free Cholesterol in Large HDL
XL-HDL-PL,0.92 [0.90-0.94],6.834e-11,***,Phospholipids in Very Large HDL
L-HDL-P,0.92 [0.90-0.94],3.170e-10,***,Concentration of Large HDL Particles
Citrate,0.92 [0.90-0.93],5.132e-13,***,Citrate
S-LDL-C,0.92 [0.90-0.93],3.526e-14,***,Cholesterol in Small LDL
LDL-CE,0.91 [0.90-0.93],2.232e-14,***,Cholesteryl Esters in LDL
L-VLDL-C%,0.91 [0.90-0.93],3.183e-15,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.91 [0.89-0.93],2.556e-14,***,Free Cholesterol to Total-Lipids in Small HDL percentage
