Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-CE,0.95 [0.93-0.96],1.687e-09,***,Cholesteryl Esters in Medium LDL
S-VLDL-CE%,0.94 [0.93-0.96],2.642e-10,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-P,0.94 [0.93-0.96],1.454e-10,***,Concentration of Medium LDL Particles
L-VLDL-CE%,0.94 [0.93-0.96],2.160e-09,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-L,0.94 [0.93-0.96],1.722e-10,***,Total-Lipids in Medium LDL
XS-VLDL-C,0.94 [0.93-0.96],3.280e-11,***,Cholesterol in Very Small VLDL
S-LDL-CE,0.94 [0.93-0.96],5.704e-11,***,Cholesteryl Esters in Small LDL
LA,0.94 [0.93-0.96],4.119e-10,***,Linoleic Acid
Total-PL,0.94 [0.93-0.96],7.007e-09,***,Total-Phospholipids in Lipoprotein Particles
XL-VLDL-CE%,0.94 [0.93-0.96],5.316e-10,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-FC%,0.94 [0.93-0.96],4.906e-11,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-L,0.94 [0.93-0.96],6.139e-10,***,Total-Lipids in Lipoprotein Particles
S-LDL-PL,0.94 [0.93-0.95],2.888e-12,***,Phospholipids in Small LDL
XL-VLDL-C%,0.94 [0.93-0.96],8.045e-11,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-C,0.94 [0.93-0.95],5.623e-12,***,Cholesterol in Medium LDL
S-LDL-L,0.94 [0.93-0.95],4.120e-12,***,Total-Lipids in Small LDL
LDL-P,0.94 [0.93-0.95],1.280e-12,***,Concentration of LDL Particles
L-LDL-P,0.94 [0.93-0.95],9.122e-13,***,Concentration of Large LDL Particles
XS-VLDL-CE,0.94 [0.93-0.95],1.247e-13,***,Cholesteryl Esters in Very Small VLDL
SM,0.94 [0.93-0.95],1.233e-11,***,Sphingomyelins
ApoB,0.94 [0.93-0.95],9.527e-14,***,Apolipoprotein B
S-LDL-C,0.94 [0.93-0.95],1.365e-13,***,Cholesterol in Small LDL
IDL-P,0.94 [0.93-0.95],5.918e-15,***,Concentration of IDL Particles
LDL-PL,0.94 [0.92-0.95],2.191e-15,***,Phospholipids in LDL
S-LDL-C%,0.94 [0.92-0.95],9.589e-15,***,Cholesterol to Total-Lipids in Small LDL percentage
Remnant-C,0.94 [0.92-0.95],2.197e-15,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LA%,0.94 [0.92-0.95],2.373e-12,***,Linoleic Acid to Total-Fatty Acids percentage
LDL-CE,0.94 [0.92-0.95],2.690e-15,***,Cholesteryl Esters in LDL
L-HDL-CE%,0.94 [0.92-0.95],5.625e-10,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-VLDL-C,0.94 [0.92-0.95],1.475e-16,***,Cholesterol in Medium VLDL
XS-VLDL-FC%,0.93 [0.92-0.95],2.732e-13,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LDL-L,0.93 [0.92-0.95],1.044e-15,***,Total-Lipids in LDL
M-LDL-FC,0.93 [0.92-0.95],1.483e-16,***,Free Cholesterol in Medium LDL
S-LDL-FC,0.93 [0.92-0.95],2.774e-17,***,Free Cholesterol in Small LDL
IDL-CE%,0.93 [0.92-0.95],6.300e-15,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-PL,0.93 [0.92-0.95],2.062e-17,***,Phospholipids in Large LDL
M-HDL-FC%,0.93 [0.92-0.95],1.429e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-CE,0.93 [0.92-0.95],7.169e-17,***,Cholesteryl Esters in Large LDL
L-LDL-L,0.93 [0.92-0.94],2.614e-17,***,Total-Lipids in Large LDL
LDL-C,0.93 [0.92-0.94],1.539e-17,***,LDL Cholesterol
Non-HDL-C,0.93 [0.92-0.94],1.270e-17,***,Total-Cholesterol Minus HDL-C
IDL-PL,0.93 [0.92-0.94],3.172e-18,***,Phospholipids in IDL
S-VLDL-C%,0.93 [0.92-0.94],4.813e-18,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-C,0.93 [0.92-0.94],5.593e-19,***,Cholesterol in Large LDL
L-LDL-FC%,0.93 [0.92-0.94],2.843e-17,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE,0.93 [0.92-0.94],9.347e-21,***,Cholesteryl Esters in Medium VLDL
L-HDL-FC%,0.93 [0.91-0.94],3.265e-12,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-C%,0.93 [0.91-0.94],3.249e-13,***,Cholesterol to Total-Lipids in Large HDL percentage
Total-FC,0.93 [0.91-0.94],3.049e-19,***,Total-Free Cholesterol
Clinical LDL-C,0.93 [0.91-0.94],1.592e-20,***,Clinical LDL Cholesterol
IDL-L,0.93 [0.91-0.94],7.231e-20,***,Total-Lipids in IDL
M-LDL-C%,0.93 [0.91-0.94],1.594e-21,***,Cholesterol to Total-Lipids in Medium LDL percentage
LDL-FC,0.93 [0.91-0.94],5.898e-21,***,Free Cholesterol in LDL
IDL-FC,0.93 [0.91-0.94],3.369e-21,***,Free Cholesterol in IDL
IDL-C%,0.93 [0.91-0.94],3.960e-20,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC,0.93 [0.91-0.94],4.927e-22,***,Free Cholesterol in Large LDL
IDL-CE,0.93 [0.91-0.94],9.669e-22,***,Cholesteryl Esters in IDL
