Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"130.257 [115.432,145.081]",1.128e-60,***,Creatinine
XL-HDL-FC%,"120.209 [105.256,135.162]",2.821e-50,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,"81.721 [67.272,96.170]",3.992e-23,***,Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"77.006 [61.979,92.033]",2.493e-18,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"72.342 [57.531,87.154]",2.597e-16,***,Average Diameter for VLDL Particles
XL-HDL-TG%,"68.481 [53.368,83.594]",1.614e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,"64.731 [49.798,79.664]",4.742e-12,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-PL%,"64.263 [48.767,79.759]",1.041e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,"62.365 [47.364,77.366]",8.824e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Leu,"58.002 [43.597,72.407]",7.081e-10,***,Leucine
XS-VLDL-TG%,"57.056 [41.988,72.124]",2.727e-08,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Val,"56.997 [42.085,71.908]",1.606e-08,***,Valine
Total-BCAA,"56.993 [42.306,71.681]",6.719e-09,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-HDL-TG%,"54.323 [39.432,69.214]",2.036e-07,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-PL%,"53.276 [37.277,69.275]",1.565e-05,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-TG,"49.809 [34.748,64.870]",2.107e-05,***,Triglycerides in Very Large VLDL
L-VLDL-TG,"46.859 [32.021,61.698]",1.399e-04,***,Triglycerides in Large VLDL
XL-VLDL-P,"46.404 [31.378,61.430]",3.294e-04,***,Concentration of Very Large VLDL Particles
