Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"22.656 [20.179,25.132]",4.964e-66,***,Creatinine
XL-HDL-FC%,"20.502 [18.004,23.001]",1.649e-52,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"17.548 [15.041,20.054]",2.598e-37,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"16.350 [13.879,18.821]",5.890e-33,***,Average Diameter for VLDL Particles
L-HDL-TG%,"14.774 [12.281,17.266]",9.368e-26,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,"14.601 [12.078,17.125]",2.220e-24,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,"13.888 [11.473,16.303]",4.929e-24,***,Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,"13.276 [10.790,15.761]",3.150e-20,***,Triglycerides to Total-Lipids in Small HDL percentage
ApoB/ApoA1,"13.083 [10.630,15.537]",3.818e-20,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-VLDL-FC,"12.335 [9.854,14.817]",5.020e-17,***,Free Cholesterol in Large VLDL
L-VLDL-PL,"12.249 [9.759,14.738]",1.323e-16,***,Phospholipids in Large VLDL
L-VLDL-L,"12.191 [9.717,14.665]",1.136e-16,***,Total-Lipids in Large VLDL
XL-VLDL-L,"12.030 [9.525,14.534]",1.172e-15,***,Total-Lipids in Very Large VLDL
L-VLDL-P,"11.871 [9.385,14.358]",2.018e-15,***,Concentration of Large VLDL Particles
XL-VLDL-P,"11.841 [9.333,14.350]",5.494e-15,***,Concentration of Very Large VLDL Particles
L-VLDL-TG,"11.808 [9.330,14.285]",2.358e-15,***,Triglycerides in Large VLDL
XL-VLDL-PL,"11.752 [9.246,14.258]",9.459e-15,***,Phospholipids in Very Large VLDL
XL-VLDL-TG,"11.698 [9.183,14.213]",1.911e-14,***,Triglycerides in Very Large VLDL
XL-VLDL-FC,"11.472 [8.972,13.972]",5.780e-14,***,Free Cholesterol in Very Large VLDL
