Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Albumin,"0.827 [0.808,0.845]",0.000e+00,***,Albumin
GlycA,"0.750 [0.731,0.770]",0.000e+00,***,Glycoprotein Acetyls
S-LDL-C%,"0.732 [0.714,0.750]",0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-CE%,"0.693 [0.675,0.711]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XXL-VLDL-CE%,"0.607 [0.588,0.625]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-FC%,"0.590 [0.572,0.609]",0.000e+00,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-C%,"0.514 [0.495,0.533]",0.000e+00,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-CE,"0.483 [0.465,0.501]",0.000e+00,***,Cholesteryl Esters in Small VLDL
S-HDL-P,"0.476 [0.458,0.495]",0.000e+00,***,Concentration of Small HDL Particles
S-VLDL-C,"0.466 [0.448,0.485]",0.000e+00,***,Cholesterol in Small VLDL
SM,"0.463 [0.443,0.482]",0.000e+00,***,Sphingomyelins
S-HDL-CE,"0.463 [0.444,0.481]",0.000e+00,***,Cholesteryl Esters in Small HDL
S-HDL-C,"0.460 [0.441,0.478]",0.000e+00,***,Cholesterol in Small HDL
3-Hydroxybutyrate,"0.458 [0.439,0.476]",0.000e+00,***,3-Hydroxybutyrate
L-VLDL-C%,"0.457 [0.438,0.476]",0.000e+00,***,Cholesterol to Total-Lipids in Large VLDL percentage
VLDL-CE,"0.444 [0.425,0.462]",0.000e+00,***,Cholesteryl Esters in VLDL
M-VLDL-CE,"0.438 [0.420,0.457]",0.000e+00,***,Cholesteryl Esters in Medium VLDL
S-HDL-L,"0.431 [0.412,0.449]",0.000e+00,***,Total-Lipids in Small HDL
S-VLDL-FC,"0.430 [0.412,0.449]",0.000e+00,***,Free Cholesterol in Small VLDL
XL-VLDL-CE,"0.421 [0.402,0.440]",0.000e+00,***,Cholesteryl Esters in Very Large VLDL
L-LDL-PL,"0.420 [0.401,0.438]",0.000e+00,***,Phospholipids in Large LDL
M-VLDL-C,"0.418 [0.400,0.437]",0.000e+00,***,Cholesterol in Medium VLDL
S-VLDL-PL,"0.415 [0.397,0.433]",0.000e+00,***,Phospholipids in Small VLDL
